ID_Transaccion,ID_Cliente,Region,Categoria,Unidades,Precio_Unitario,Ingresos,Total_Gastado,Fecha
33,1100,Oeste,Deportes,7.0,932.13,6524.91,11016.99,2025-07-05
3,1160,Centro,Deportes,6.0,574.55,3447.3,4234.14,2025-04-01
285,1055,Oeste,Ropa,7.0,179.83,1258.81,1581.52,2025-02-26
378,1187,Sur,Belleza,7.0,626.38,4384.66,5331.39,2025-10-15
303,1063,Sur,Belleza,9.0,89.42,804.78,847.5,2025-04-20
5,1075,Oeste,Belleza,,2229.03,,15929.03,2025-09-03
19,1058,Centro,Electronica,2.0,2376.27,4752.54,7371.2,2025-02-20
186,1194,Sur,Electronica,4.0,1516.16,6064.64,8766.72,2025-07-23
387,1006,Centro,Ropa,,1471.07,,2332.09,2025-06-16
110,1037,Norte,Hogar,4.0,1909.7,7638.8,8097.98,2025-09-10
107,1158,Sur,Electronica,9.0,1890.33,17012.97,29738.1,2025-06-01
340,1123,Centro,Electronica,9.0,2402.22,21619.98,34459.35,2025-06-15
229,1144,Este,Electronica,,1199.49,,1875.42,2025-03-19
395,1102,Sur,Electronica,9.0,1222.59,11003.31,13974.11,2025-10-14
256,1141,Norte,Deportes,2.0,993.02,1986.04,2122.5,2025-01-29
221,1182,Sur,Belleza,5.0,2380.2,11901.0,13321.77,2025-03-15
181,1039,Este,Electronica,,298.79,,1873.68,2025-02-22
98,1154,Oeste,Deportes,3.0,1759.14,5277.42,5848.32,2025-05-09
18,1092,Centro,Ropa,4.0,1845.38,7381.52,12523.39,2025-09-20
56,1189,Este,Belleza,2.0,974.36,1948.72,2774.39,2025-10-09
172,1027,Norte,Belleza,5.0,1992.39,9961.95,12518.88,2025-02-26
370,1086,Oeste,Hogar,9.0,1096.79,9871.11,10641.41,2025-02-26
173,1114,Oeste,Hogar,9.0,1591.92,14327.28,23015.76,2025-06-12
133,1025,Este,Hogar,5.0,1258.82,6294.1,6436.56,2025-02-14
99,1029,Oeste,Ropa,4.0,2131.35,8525.4,9323.02,2025-03-12
212,1060,Este,Deportes,7.0,2314.39,16200.73,24110.44,2025-09-17
150,1104,Oeste,Hogar,2.0,1818.41,3636.82,4949.61,2025-01-22
352,1087,Norte,Hogar,9.0,1604.97,14444.73,17103.75,2025-04-03
314,1187,Sur,Deportes,5.0,2290.23,11451.15,15783.23,2025-04-17
193,1176,Este,Hogar,11.0,971.12,10682.32,11694.88,2025-07-29
198,1086,Centro,Belleza,9.0,2364.83,21283.47,21300.33,2025-10-09
343,1124,Este,Electronica,4.0,1462.34,5849.36,7319.44,2025-10-12
304,1031,Este,Hogar,11.0,1157.52,12732.72,15190.58,2025-01-30
359,1024,Norte,Belleza,6.0,1814.23,10885.38,14192.09,2025-02-17
398,1084,Centro,Ropa,5.0,906.14,4530.7,5499.54,2025-07-19
48,1185,Sur,Hogar,8.0,1285.16,10281.28,17625.45,2025-07-22
81,1090,Oeste,Belleza,4.0,1235.91,4943.64,5341.2,2025-08-29
58,1078,Centro,Electronica,6.0,247.32,1483.92,2166.87,2025-04-01
190,1130,Centro,Hogar,5.0,2171.14,10855.7,14830.93,2025-09-18
375,1180,Sur,Belleza,10.0,1034.51,10345.1,15454.31,2025-04-08
24,1064,Centro,Electronica,3.0,865.64,2596.92,3570.05,2025-10-17
16,1113,Centro,Hogar,6.0,184.48,1106.88,1135.35,2025-10-03
389,1187,Sur,Belleza,2.0,1566.56,3133.12,3173.87,2025-02-23
194,1126,Oeste,Deportes,,201.92,,710.82,2025-01-02
201,1040,Este,Electronica,7.0,335.92,2351.44,3385.46,2025-09-02
355,1169,Norte,Ropa,8.0,1203.85,9630.8,14390.62,2025-02-28
346,1069,Centro,Ropa,11.0,909.1,10000.1,16877.61,2025-01-12
32,1033,Este,Ropa,6.0,517.31,3103.86,3450.25,2025-04-28
224,1011,Oeste,Electronica,1.0,209.05,209.05,317.55,2025-07-29
40,1112,Centro,Electronica,2.0,242.09,484.18,796.94,2025-02-28
104,1193,Oeste,Belleza,,1924.65,,32889.55,2025-01-13
166,1092,Este,Deportes,10.0,1058.35,10583.5,11127.14,2025-06-30
233,1174,Sur,Electronica,4.0,643.21,2572.84,3511.92,2025-06-19
123,1048,Sur,Electronica,8.0,2029.97,16239.76,17786.1,2025-01-22
163,1027,Norte,Hogar,10.0,1244.93,12449.3,14535.08,2025-01-17
106,1192,Centro,Deportes,6.0,188.61,1131.66,1619.78,2025-08-05
