edad,ingreso,visitas,compras,gasto_total,ciudad,fecha_registro,gasto_siguiente_mes
52,80138,1,0,801,Guadalajara,2023-06-02,1480
38,52829,6,2,1914,Puebla,2021-08-03,1327
29,27427,7,3,2241,Monterrey,2021-04-10,1396
34,67056,6,2,1721,CDMX,2023-05-04,2016
35,34282,13,6,1683,CDMX,2023-12-25,1480
46,13886,6,2,1258,Puebla,2024-08-12,1377
19,201682,7,2,3671,CDMX,2022-10-04,2595
26,69846,12,2,2070,Monterrey,2022-07-13,2020
33,121666,8,3,2053,Monterrey,2021-05-20,1553
68,31076,4,1,962,Guadalajara,2025-12-19,1348
49,102104,4,2,1700,CDMX,2024-09-08,1827
37,108547,5,2,3054,CDMX,2021-01-28,2916
47,106646,7,2,2430,CDMX,2025-12-08,2724
63,48504,8,3,1828,Guadalajara,2025-02-01,1623
35,26870,4,1,1053,Guadalajara,2022-11-10,1349
34,44862,12,5,3041,Guadalajara,2021-11-20,2801
53,16295,7,4,3141,Puebla,2026-02-19,1949
44,20931,3,1,863,Monterrey,2026-03-12,1639
46,51327,4,2,1417,Guadalajara,2023-06-23,1807
32,29861,9,3,2584,Puebla,2021-07-06,2381
61,45151,4,2,1301,CDMX,2022-10-24,2139
59,46421,5,1,1340,CDMX,2025-10-16,2195
45,128716,7,3,3268,Guadalajara,2025-10-25,2504
46,93790,7,1,1415,CDMX,2023-02-02,1902
18,47933,4,1,825,CDMX,2022-07-09,1564
46,89720,7,4,4584,Guadalajara,2022-06-29,2714
36,33195,5,2,2120,Guadalajara,2025-05-19,1888
43,41421,4,1,853,Puebla,2021-03-19,1401
46,77274,10,5,5406,Guadalajara,2024-02-24,3026
34,26349,2,1,942,Guadalajara,2022-02-21,1563
18,42638,10,4,2878,Guadalajara,2023-07-15,1951
42,25326,5,3,2159,CDMX,2022-12-30,1544
29,51986,7,3,2334,CDMX,2024-03-11,2413
34,110886,7,2,2890,CDMX,2025-11-13,2698
31,33656,2,1,1012,Monterrey,2023-09-15,1355
34,54882,12,5,2250,CDMX,2026-01-13,2164
18,31299,5,2,2317,CDMX,2023-11-16,2365
53,27590,8,2,1872,CDMX,2021-06-01,2176
41,26425,11,3,1665,Monterrey,2025-07-17,1104
51,101456,8,2,2195,CDMX,2023-12-04,1885
62,159726,5,1,2095,CDMX,2026-02-04,2308
38,62413,8,2,1940,Puebla,2021-03-03,2324
18,34264,8,3,2491,Guadalajara,2025-07-03,1641
27,69734,11,3,2767,Monterrey,2021-07-17,2201
24,41475,6,1,964,Guadalajara,2021-05-09,1310
32,73182,3,1,1247,Monterrey,2024-03-16,1655
39,56698,7,3,2944,CDMX,2021-04-06,2604
18,56379,8,4,3096,Guadalajara,2023-09-28,1487
42,66412,4,1,1692,Guadalajara,2025-10-26,1058
20,36690,8,3,1910,Puebla,2025-09-07,1713
42,40047,3,1,1183,CDMX,2024-10-28,1895
37,20731,10,3,2182,Guadalajara,2025-09-14,1594
34,39303,7,2,1438,CDMX,2025-10-07,2116
37,24073,6,2,1999,CDMX,2021-10-31,2476
32,45600,9,3,2468,CDMX,2021-03-08,1653
31,30369,4,2,1303,CDMX,2024-04-19,1695
18,51566,10,4,2901,Monterrey,2024-11-06,2493
38,61489,6,2,2257,CDMX,2025-03-13,1994
60,24099,8,4,2017,Puebla,2021-09-11,1506
62,32642,11,2,2090,Guadalajara,2025-01-07,2234
54,30587,6,3,2601,Guadalajara,2022-06-08,1952
46,71200,3,1,1315,Guadalajara,2023-12-14,1400
30,115057,8,2,2907,Monterrey,2026-03-10,2141
55,75039,5,2,2639,CDMX,2023-09-01,2008
37,41163,8,2,1913,Guadalajara,2025-01-09,2000
37,101977,4,1,1698,CDMX,2023-12-22,1741
35,22993,6,2,2151,Guadalajara,2025-10-23,2173
39,103744,6,2,2841,CDMX,2023-02-24,2042
33,35309,6,2,1341,Puebla,2021-04-01,1498
37,12208,4,1,737,CDMX,2023-12-10,1123
25,184500,6,2,3073,Monterrey,2022-02-03,2476
34,107906,3,2,2241,CDMX,2025-08-22,2500
65,29262,6,3,1486,Puebla,2025-12-23,1648
37,53343,7,3,2939,Monterrey,2022-10-24,2692
35,44035,9,2,1769,CDMX,2025-05-20,1971
44,51591,3,1,1183,Monterrey,2023-04-18,1823
46,23350,5,2,2008,Puebla,2025-11-22,1668
25,34865,7,4,2568,Puebla,2023-04-13,1954
36,61944,8,4,3181,Guadalajara,2024-12-30,2013
49,54795,10,3,2637,CDMX,2025-07-05,2610
41,89288,8,2,2047,CDMX,2022-12-30,2334
39,51015,6,2,1773,Puebla,2022-04-10,2027
57,158675,4,2,3145,Guadalajara,2023-08-05,2599
30,34274,5,3,2288,CDMX,2023-04-15,2333
39,55808,4,2,2307,Puebla,2022-11-12,1630
32,18804,7,2,1234,Guadalajara,2024-11-28,1337
56,26198,8,3,2314,Guadalajara,2023-05-31,1493
18,95250,8,3,2179,CDMX,2023-01-16,2069
30,30595,3,1,936,Guadalajara,2023-10-30,1454
32,63917,4,1,1170,CDMX,2025-06-14,2154
46,47530,7,1,1355,CDMX,2021-12-20,1745
45,29078,5,2,1842,Puebla,2023-10-19,2636
55,41187,4,1,1148,Guadalajara,2021-04-21,1719
19,37907,11,2,2303,Guadalajara,2021-07-07,2558
47,38419,4,2,2172,CDMX,2025-11-01,2434
34,71454,7,3,3029,Monterrey,2022-11-28,1514
30,67926,12,4,2812,CDMX,2022-03-01,2312
44,36728,3,2,1178,CDMX,2021-10-06,2249
27,31146,4,1,956,CDMX,2024-06-13,978
18,56453,5,1,1154,CDMX,2023-04-15,2204
34,46630,6,3,2088,Puebla,2023-03-23,1352
20,81973,3,2,2021,Monterrey,2022-11-24,1848
30,184914,4,2,2589,Guadalajara,2025-04-16,2212
42,74717,6,1,1650,Guadalajara,2022-10-07,1476
42,48177,7,3,1852,Puebla,2021-05-07,1693
57,44980,7,1,986,CDMX,2025-04-25,1588
36,31941,7,1,1066,Guadalajara,2022-10-19,1438
20,31153,7,3,1433,Monterrey,2025-09-01,1778
29,29682,7,1,1103,CDMX,2025-03-23,2975
27,40229,5,1,1211,Guadalajara,2024-12-06,1791
23,39594,5,1,993,Monterrey,2022-08-09,1882
43,71102,2,1,1178,Puebla,2024-12-26,1452
30,40155,5,2,1541,CDMX,2025-08-07,1604
18,44412,8,2,1116,Puebla,2025-08-24,1344
46,26658,6,2,2038,CDMX,2025-08-02,2542
37,111557,4,2,2434,Monterrey,2025-10-10,2170
42,63164,4,1,1157,Monterrey,2022-08-15,2101
39,119903,6,1,1695,CDMX,2021-11-28,2320
46,73017,4,2,2225,Guadalajara,2022-01-27,2851
38,103241,5,1,1938,Monterrey,2025-09-02,1708
53,43293,11,4,2167,CDMX,2021-10-17,2326
43,70163,6,2,1806,Guadalajara,2021-11-03,2058
43,189615,8,1,2247,Monterrey,2025-08-28,2579
43,26588,8,3,2561,Guadalajara,2022-06-01,1681
21,88268,4,2,2236,Monterrey,2024-07-03,1689
36,114574,7,2,3214,CDMX,2025-02-11,2609
35,60510,9,2,1863,CDMX,2021-06-13,2225
40,71869,7,4,3022,CDMX,2021-09-29,2041
22,92950,6,1,1459,CDMX,2024-11-26,1785
58,35061,6,1,1146,CDMX,2026-01-07,2026
39,60398,8,2,1349,Puebla,2021-04-24,1862
23,31445,9,2,1870,Guadalajara,2025-11-06,1592
18,34696,3,1,1039,CDMX,2026-02-17,1515
35,35747,3,2,1485,CDMX,2021-01-01,1707
37,45564,7,1,952,Puebla,2025-11-12,2126
29,52833,5,2,2188,Guadalajara,2024-04-24,2102
39,61791,5,2,2552,Puebla,2024-09-03,1904
30,23731,7,1,811,Guadalajara,2025-10-25,1718
45,135048,4,1,2091,Guadalajara,2022-08-16,3091
29,88589,2,1,1833,Puebla,2023-10-24,2304
38,71096,3,1,1255,Monterrey,2022-06-22,1417
50,40812,8,2,1622,Guadalajara,2023-10-18,1703
69,46833,7,2,1352,Guadalajara,2023-07-28,1480
26,64899,9,5,3773,Puebla,2024-01-20,2046
32,60519,5,2,1877,Guadalajara,2024-06-05,1415
28,20733,4,2,1364,Puebla,2023-11-17,1225
47,71657,3,2,1764,CDMX,2021-10-16,1722
24,218409,8,2,2943,Guadalajara,2024-01-11,2506
32,19022,8,2,1031,Guadalajara,2023-08-03,1448
38,81621,10,5,3232,Puebla,2024-07-16,1518
26,59234,6,2,2111,CDMX,2023-05-11,1653
27,46295,7,2,1589,Monterrey,2025-12-22,1558
32,99063,3,1,1495,Monterrey,2021-01-30,2296
18,26721,7,4,3316,Monterrey,2021-06-06,2500
21,53292,6,3,2772,Guadalajara,2025-09-30,1989
33,103879,5,2,2081,Puebla,2022-03-21,760
40,44309,6,2,1529,CDMX,2024-03-27,1732
36,39552,10,4,3448,CDMX,2021-01-11,2380
18,51999,2,0,520,CDMX,2025-06-18,1331
32,39012,8,2,1404,CDMX,2021-05-07,1562
