metros,habitaciones,banios,antiguedad,zona,tipo_vivienda,fecha_publicacion,precio
70.6,2,1,15.6,Sur,Departamento,2024-11-26,1036584
75.6,3,1,0.6,Norte,Loft,2024-10-21,1542751
208.3,6,1,2.2,Oriente,Estudio,2024-03-04,2353332
182.1,4,3,16.4,Sur,Departamento,2026-07-28,2135270
93.5,6,1,8.5,Centro,Estudio,2024-08-22,2076688
95.5,1,2,6.9,Oriente,Loft,2025-03-11,1857766
64.0,1,2,18.3,Sur,Estudio,2024-12-12,723758
33.7,3,3,1.6,Sur,Casa,2024-02-13,971561
105.3,3,1,3.0,Centro,Departamento,2026-05-26,2456665
70.1,4,1,4.5,Norte,Departamento,2024-07-31,1199343
106.6,6,2,16.4,Norte,Departamento,2024-04-07,1959553
46.0,2,1,1.2,Oriente,Departamento,2024-11-28,1071790
79.5,7,1,14.1,Sur,Estudio,2024-05-19,703048
115.9,7,1,0.3,Oriente,Estudio,2026-08-27,1499147
124.6,2,2,2.6,Norte,Casa,2024-07-02,2277540
126.7,5,1,2.3,Centro,Departamento,2024-10-20,2592985
57.2,1,1,5.6,Sur,Departamento,2024-09-20,899653
144.2,3,2,5.0,Centro,Casa,2024-01-26,3184657
78.0,2,1,35.7,Oriente,Casa,2024-01-13,1285456
135.3,2,2,4.4,Sur,Casa,2025-05-12,2044934
109.6,1,2,9.0,Sur,Loft,2024-08-13,1814542
54.9,1,1,0.3,Norte,Departamento,2024-03-22,1320555
97.4,1,5,13.0,Oriente,Estudio,2024-10-09,1321646
124.6,3,2,4.9,Oriente,Departamento,2024-09-22,1582278
134.5,1,1,4.2,Sur,Estudio,2025-02-15,2000011
104.4,2,2,1.3,Centro,Departamento,2026-08-20,2352879
171.3,3,1,25.5,Norte,Loft,2024-10-24,2484761
150.3,5,2,8.9,Centro,Casa,2025-11-14,3118551
99.7,3,1,2.8,Centro,Departamento,2026-01-15,2345508
140.0,1,2,0.3,Sur,Loft,2024-02-19,2481465
187.4,2,4,16.0,Sur,Estudio,2025-05-01,2271154
188.4,6,4,8.6,Oriente,Loft,2025-03-11,2498055
60.9,3,4,4.8,Norte,Casa,2025-05-07,1504388
72.9,2,1,2.8,Norte,Departamento,2024-06-15,1361408
169.4,3,2,11.6,Norte,Casa,2025-03-27,2721398
67.7,1,1,13.5,Centro,Casa,2024-04-29,2101465
57.1,2,2,4.7,Centro,Departamento,2026-07-06,1906777
90.6,5,2,7.4,Norte,Departamento,2025-07-23,1527684
126.8,5,2,29.8,Centro,Loft,2024-02-03,2762316
105.9,2,1,40.1,Sur,Estudio,2025-05-05,1172520
84.0,5,1,18.4,Norte,Departamento,2026-06-17,1435576
83.0,2,1,5.9,Oriente,Loft,2025-12-21,1441052
81.5,5,3,1.1,Sur,Casa,2024-09-21,1457975
74.8,4,3,15.7,Norte,Casa,2026-05-15,1768779
201.3,3,3,0.3,Oriente,Departamento,2024-06-28,2610282
121.9,2,1,3.4,Oriente,Estudio,2024-08-27,1405223
