id_cliente,ingreso,categoria,publicidad,ventas
1,21092.04,Basico,34.49,149.97
2,13174.07,Basico,45.43,166.9
3,24653.1,Basico,39.65,135.05
4,26349.32,Estandar,59.03,178.83
5,9577.17,Estandar,39.82,106.69
6,12018.92,Basico,65.17,227.64
7,19825.89,Premium,46.31,203.91
8,16971.91,Estandar,40.26,149.87
9,18847.2,Basico,31.2,82.15
10,14064.86,Premium,53.8,192.4
11,25791.22,Basico,63.43,215.29
12,24890.14,Basico,54.1,209.31
13,19401.6,Estandar,83.58,294.27
14,28128.38,Basico,71.45,166.84
15,22328.7,Basico,45.39,174.33
16,14034.13,Estandar,45.23,135.12
17,21570.09,Basico,57.05,161.3
18,13553.38,Premium,37.43,131.32
19,25782.66,Empresarial,67.49,239.51
20,18629.95,Estandar,55.42,150.8
21,17770.56,Estandar,53.85,204.54
22,14938.17,Estandar,60.3,226.03
23,29082.43,Empresarial,75.84,256.29
24,17960.22,Basico,52.56,161.26
25,16319.0,Basico,48.3,145.26
26,16760.05,Estandar,72.63,270.8
27,22840.9,Estandar,64.51,182.21
28,21545.14,Basico,45.19,186.69
29,21904.7,Estandar,50.08,171.11
30,22043.82,Basico,52.93,181.69
31,40117.85,Premium,55.43,149.12
32,16444.64,Basico,29.65,108.25
33,145541.26,Basico,26.86,118.61
34,14259.51,Basico,36.69,100.33
35,23519.68,Basico,35.53,142.61
36,28145.43,Basico,40.34,147.29
37,18217.14,Basico,59.52,188.42
38,14128.44,Basico,47.47,188.51
39,14206.17,Basico,52.95,129.08
40,23806.35,Basico,31.64,126.74
41,24591.08,Basico,43.08,194.02
42,22927.77,Basico,58.81,238.31
43,15019.0,Basico,58.92,212.41
44,20563.16,Basico,39.13,133.77
45,19748.64,Basico,52.42,166.62
46,20466.42,Basico,82.98,269.67
47,25719.38,Premium,49.74,187.78
48,20501.6,Empresarial,39.6,122.59
49,24043.49,Premium,47.39,185.86
50,19412.12,Estandar,51.38,232.62
51,20977.21,Estandar,47.73,166.42
52,23646.04,Basico,49.53,139.93
53,11384.36,Premium,28.35,74.26
54,16951.56,Premium,35.56,149.65
55,16080.61,Premium,47.76,166.56
56,15159.65,Premium,47.52,189.24
57,17217.82,Basico,41.51,135.33
58,31991.63,Premium,47.34,187.53
59,14002.05,Premium,50.92,173.88
60,26606.14,Basico,63.34,198.05
61,10519.6,Premium,48.51,160.36
62,16861.53,Basico,55.99,163.63
63,20069.64,Empresarial,41.88,199.55
64,23275.99,Premium,58.58,199.19
65,24316.96,Basico,55.64,208.58
66,25026.02,Estandar,62.99,201.84
67,16780.05,Basico,60.7,181.88
68,16125.82,Premium,58.83,196.53
69,25598.56,Premium,48.52,197.95
70,17730.53,Estandar,53.67,173.37
71,12130.88,Premium,65.95,202.69
72,12750.8,Basico,40.22,148.57
73,13741.72,Basico,40.57,158.25
74,22561.64,Basico,52.72,224.51
75,19927.36,Basico,56.23,203.15
76,24141.07,Basico,37.64,152.78
77,16325.14,Basico,48.88,189.51
78,20040.07,Basico,48.59,141.8
79,23598.93,Basico,16.77,47.91
80,17012.93,Premium,46.71,137.69
81,22244.97,Basico,47.64,134.38
82,15037.85,Premium,47.6,187.43
83,16696.11,Basico,71.24,248.09
84,118083.22,Basico,31.76,120.45
85,12474.68,Estandar,37.63,71.84
86,22481.33,Basico,10.82,104.92
87,16086.07,Basico,42.79,130.28
88,19041.44,Estandar,44.07,207.9
89,22432.39,Basico,42.35,115.06
90,22165.36,Basico,66.62,206.2
91,23929.92,Estandar,62.91,159.95
92,18316.0,Basico,51.17,187.67
93,16347.75,Premium,44.44,130.24
94,18436.7,Basico,65.39,195.89
95,10503.18,Empresarial,49.7,139.77
96,11424.44,Premium,37.73,156.38
97,11932.91,Empresarial,24.26,112.98
98,13372.61,Premium,43.38,199.78
99,21805.58,Basico,61.32,192.95
100,13809.09,Estandar,84.15,286.33
101,16608.06,Basico,50.92,145.63
102,29873.58,Premium,38.52,131.03
103,16735.84,Estandar,32.23,106.93
104,24541.74,Basico,58.28,212.28
105,13673.76,Premium,23.53,118.37
106,17643.04,Basico,58.26,225.37
107,13595.47,Estandar,62.27,191.95
108,16837.07,Estandar,56.54,220.25
109,25440.76,Basico,46.71,163.68
110,10357.21,Estandar,58.47,193.15
111,22071.63,Premium,52.56,165.24
112,20603.32,Basico,38.33,124.82
113,15398.84,Estandar,77.76,304.6
114,11428.66,Basico,44.72,166.33
115,19443.06,Estandar,61.64,215.44
116,15751.29,Basico,13.72,55.98
117,20566.87,Empresarial,69.15,295.51
118,19103.91,Premium,72.03,275.92
119,33210.54,Basico,50.45,158.36
120,17434.84,Basico,58.38,194.14
121,13250.31,Estandar,58.38,195.61
122,20186.04,Estandar,40.36,148.76
123,20475.8,Basico,58.21,182.91
124,30507.13,Basico,37.87,148.37
125,25394.53,Basico,40.87,183.0
126,21480.59,Empresarial,66.9,194.56
127,31639.32,Estandar,64.62,192.12
128,12505.61,Premium,39.4,130.07
129,15155.02,Estandar,39.0,129.97
130,13707.5,Premium,40.32,194.94
131,16540.49,Basico,60.99,234.11
132,11709.55,Basico,35.0,152.11
133,23678.03,Premium,55.35,184.98
134,17539.7,Empresarial,61.2,202.57
135,11330.1,Basico,48.68,134.6
136,13287.08,Basico,65.15,241.51
137,21157.08,Estandar,45.44,173.13
138,25421.34,Basico,46.79,197.21
139,38133.78,Basico,35.34,124.29
140,52567.42,Premium,65.26,218.75
141,21917.56,Basico,38.5,143.61
142,13408.74,Estandar,55.25,213.56
143,8989.24,Basico,48.93,134.93
144,20820.62,Basico,34.21,144.45
145,14263.66,Estandar,40.86,146.16
146,16393.25,Basico,70.74,212.84
147,15302.42,Estandar,53.02,132.26
148,18046.79,Basico,34.86,124.66
149,27531.69,Empresarial,54.58,225.39
150,20029.61,Estandar,47.81,210.07
151,17934.43,Premium,101.81,344.5
152,13194.05,Basico,54.28,237.31
153,10549.79,Basico,44.29,156.23
154,15991.17,Basico,71.3,264.86
155,18604.82,Estandar,22.38,78.11
156,293537.06,Basico,51.41,166.52
157,19842.79,Basico,79.92,250.8
158,26741.15,Basico,48.26,118.08
159,15918.65,Basico,24.0,126.58
160,12522.34,Basico,44.06,140.55
161,13523.84,Basico,71.82,222.6
162,14708.35,Basico,55.64,162.99
163,39933.24,Estandar,37.42,130.88
164,14221.56,Basico,39.72,187.22
165,25424.57,Basico,41.6,201.32
166,13821.43,Estandar,55.42,150.27
167,26266.52,Premium,70.07,228.36
168,21692.74,Basico,65.79,198.08
169,17946.97,Estandar,56.84,220.91
170,18689.8,Empresarial,30.03,120.24
171,15075.47,Estandar,30.08,97.34
172,22161.8,Premium,58.0,201.61
173,16167.46,Premium,29.82,100.5
174,12345.39,Basico,46.62,204.87
175,12121.33,Basico,54.56,202.82
176,20138.84,Estandar,32.94,138.85
177,32947.87,Empresarial,34.64,60.7
178,20050.25,Estandar,48.59,168.95
179,18187.26,Basico,57.55,250.5
180,20953.04,Estandar,65.92,257.51
181,29944.49,Basico,59.11,157.05
182,20471.4,Premium,51.1,170.59
183,124010.58,Estandar,38.81,110.26
184,27922.86,Estandar,33.94,167.98
185,22027.89,Premium,42.34,157.35
186,32451.91,Estandar,56.15,174.87
187,20214.03,Estandar,55.05,191.51
188,12350.3,Premium,18.5,12.17
189,11744.55,Premium,38.21,111.34
190,33786.78,Premium,68.07,231.92
191,34657.97,Basico,51.19,199.83
192,17803.82,Estandar,28.74,60.58
193,16578.87,Basico,85.34,275.02
194,31618.75,Premium,49.57,198.9
195,12868.45,Estandar,55.77,156.59
196,13861.15,Basico,55.99,199.31
197,23745.88,Basico,44.49,159.56
198,16512.75,Basico,39.09,184.03
199,18924.4,Estandar,81.83,267.9
200,17904.28,Basico,65.05,217.36
201,21336.0,Basico,62.33,234.59
202,31027.17,Premium,58.64,168.64
203,19569.05,Premium,34.95,122.82
204,23750.97,Basico,69.16,223.01
205,9250.56,Basico,37.35,132.32
206,134212.87,Empresarial,54.25,209.38
207,14113.25,Estandar,25.41,112.62
208,12374.78,Estandar,19.39,61.38
209,13941.8,Basico,54.77,193.22
210,16866.03,Basico,37.86,174.64
211,26122.86,Basico,20.16,61.72
212,11917.49,Estandar,58.11,203.77
213,19162.7,Basico,81.8,268.75
214,16003.15,Basico,70.84,238.04
215,16904.15,Estandar,46.14,122.27
216,26929.17,Empresarial,50.13,210.68
217,22887.37,Premium,63.32,196.92
218,30275.36,Estandar,66.83,252.83
219,17960.37,Estandar,44.85,143.49
220,14859.88,Basico,50.51,160.95
221,17529.66,Basico,54.51,219.31
222,20637.68,Estandar,58.31,225.6
223,20166.96,Basico,48.0,174.03
224,12970.91,Estandar,48.2,188.44
225,19568.4,Premium,70.7,231.95
226,20534.87,Empresarial,68.14,
227,45757.73,Basico,57.16,180.66
228,36566.79,Basico,75.79,277.54
229,14063.88,Basico,44.2,139.69
230,17144.21,Basico,74.34,287.6
231,11359.34,Basico,58.14,192.33
232,15417.41,Basico,99.07,327.62
233,21172.57,Premium,32.11,138.52
234,28913.06,Estandar,39.66,143.54
235,14688.51,Premium,56.28,187.03
236,15078.86,Basico,55.96,192.72
237,8941.41,Basico,79.25,288.03
238,17909.15,Basico,39.97,127.35
239,13071.05,Basico,63.57,213.92
240,15751.58,Basico,67.44,229.31
241,13948.1,Empresarial,60.57,229.38
242,18343.09,Basico,35.59,127.82
243,10247.56,Basico,71.12,285.67
244,11345.02,Estandar,68.44,228.25
245,39944.11,Estandar,58.99,196.94
246,12081.16,Estandar,53.07,180.23
247,12914.75,Basico,53.39,152.6
248,36059.29,Premium,48.82,145.42
249,52405.85,Basico,59.61,191.53
250,12581.11,Basico,50.47,204.84
251,16665.78,Estandar,37.27,134.72
252,21365.75,Premium,34.27,114.12
253,34719.06,Basico,38.72,170.69
254,13421.32,Estandar,53.33,224.11
255,17398.73,Basico,49.6,205.13
256,24886.19,Basico,53.23,163.69
257,22074.27,Basico,57.51,185.91
258,16619.72,Estandar,40.59,191.17
259,18090.86,Basico,71.98,249.18
260,11716.89,Estandar,45.98,155.86
261,17442.05,Basico,43.5,172.8
262,17270.66,Premium,57.24,222.61
263,20563.22,Premium,22.45,75.32
264,15609.51,Basico,38.14,143.73
265,22360.21,Basico,64.72,243.78
266,27023.19,Basico,23.94,65.2
267,20018.26,Premium,66.76,227.28
268,21442.17,Basico,72.67,217.41
269,19314.36,Estandar,44.46,133.23
270,18958.91,Basico,54.38,174.49
271,14727.25,Premium,66.79,238.97
272,21179.16,Estandar,43.0,145.24
273,18323.68,Estandar,63.02,199.14
274,39442.88,Empresarial,39.93,145.08
275,32881.79,Basico,42.84,124.12
276,21699.54,Premium,38.01,148.55
277,14514.89,Basico,55.14,219.22
278,12844.31,Estandar,67.37,226.87
279,28764.58,Premium,47.24,161.37
280,20784.49,Estandar,30.93,125.22
281,22427.66,Estandar,33.76,73.94
282,10294.81,Basico,55.92,206.77
283,26228.54,Basico,77.66,338.3
284,22226.65,Basico,55.91,190.24
285,12853.22,Estandar,44.2,154.03
286,16074.13,Estandar,61.49,229.22
287,20791.53,Basico,46.41,205.0
288,19309.71,Basico,44.33,181.78
289,17115.51,Basico,35.62,76.54
290,18283.95,Basico,71.13,254.58
291,17357.99,Basico,11.91,121.23
292,123717.13,Premium,61.97,227.66
293,31730.14,Estandar,43.04,124.57
294,7720.77,Basico,43.84,162.96
295,17450.13,Estandar,75.38,221.68
296,20166.53,Premium,39.29,172.61
297,21027.74,Basico,39.8,119.48
298,16644.41,Basico,48.04,170.79
299,10251.17,Basico,56.21,172.8
300,21264.59,Basico,43.37,140.79
301,34702.69,Premium,26.39,138.97
302,11082.79,Empresarial,37.01,137.33
303,25651.05,Basico,69.22,220.6
304,16899.11,Estandar,51.12,149.85
305,18555.78,Basico,56.77,149.18
306,13114.65,Estandar,46.08,131.56
307,16864.07,Premium,40.11,147.13
308,29882.12,Basico,75.16,277.51
309,23246.95,Basico,47.18,152.24
310,34763.01,Estandar,43.35,193.65
311,28626.67,Empresarial,66.44,208.03
312,22107.68,Basico,39.16,135.46
313,34904.71,Basico,41.08,120.36
314,22106.96,Basico,50.15,200.25
315,25331.29,Estandar,50.0,227.45
316,17089.17,Estandar,53.89,143.03
317,19405.1,Premium,81.38,263.61
318,14852.18,Premium,55.04,222.26
319,26805.29,Premium,14.33,28.25
320,12551.48,Premium,54.89,204.34
321,24929.89,Basico,50.57,207.3
322,17734.59,Estandar,50.65,178.98
323,28564.97,Basico,53.69,200.19
324,24656.7,Basico,49.57,217.69
325,35854.56,Empresarial,49.21,221.26
326,24483.9,Estandar,59.2,201.96
327,10935.68,Empresarial,41.87,136.48
328,18519.26,Basico,35.78,107.93
329,12579.17,Estandar,95.36,340.03
330,15813.23,Estandar,39.26,107.42
331,32174.51,Basico,51.5,173.34
332,23697.78,Basico,27.57,108.02
333,14844.35,Estandar,51.75,167.84
334,13295.74,Basico,36.0,138.6
335,19177.13,Empresarial,43.36,218.54
336,12384.54,Basico,65.68,220.56
337,14989.44,Basico,57.08,186.06
338,21145.94,Premium,58.53,226.81
339,28406.1,Basico,23.43,98.63
340,23460.34,Premium,77.55,296.4
341,8501.93,Estandar,32.12,123.69
342,21089.45,Basico,72.93,239.87
343,19442.4,Estandar,65.32,177.91
344,21913.58,Estandar,58.66,161.35
345,33378.7,Premium,37.18,89.35
346,9208.36,Premium,52.27,191.53
347,15415.27,Estandar,42.94,119.05
348,23314.18,Estandar,50.44,207.74
349,10899.17,Basico,46.25,164.14
350,31779.67,Estandar,19.42,74.1
351,21567.11,Empresarial,66.83,206.07
352,25496.7,Estandar,48.78,186.78
353,15524.42,Estandar,42.73,132.34
354,25205.49,Basico,41.6,124.31
355,27555.71,Premium,55.38,221.38
356,20568.32,Empresarial,36.59,142.31
357,20579.29,Basico,16.17,64.26
