id_usuario,grupo,gasto
228,B,643.84
209,A,861.74
165,A,844.27
278,B,871.77
63,A,760.92
173,A,924.48
329,B,733.74
5,A,779.26
243,B,643.47
392,B,510.97
226,B,710.56
344,B,746.29
6,A,749.44
429,B,977.23
180,A,868.44
237,B,887.49
285,B,706.42
219,A,750.97
18,A,791.67
123,A,782.83
304,B,1408.54
382,B,924.01
120,A,733.88
311,B,933.95
214,A,752.31
247,B,1013.09
48,A,834.44
239,B,800.71
268,B,1047.92
169,A,720.81
275,B,904.53
301,B,887.86
248,B,1123.84
30,A,822.76
66,A,704.09
68,A,804.35
398,B,1099.7
108,A,974.84
129,A,763.41
269,B,917.18
118,A,1152.04
413,B,1055.46
162,A,877.56
102,A,868.34
257,B,985.55
404,B,833.75
286,B,758.62
324,B,896.71
133,A,921.47
307,B,818.39
345,B,780.1
411,B,1083.4
308,B,893.89
245,B,833.34
79,A,878.46
160,A,711.65
231,B,988.84
7,A,892.06
290,B,916.22
359,B,1078.88
414,B,956.15
361,B,535.35
335,B,892.99
328,B,843.7
158,A,1056.09
351,B,1021.9
386,B,903.5
166,A,840.64
376,B,940.26
297,B,
59,A,
316,B,1301.97
91,A,1081.06
319,B,859.73
375,B,978.88
262,B,780.49
19,A,798.14
41,A,863.19
325,B,1260.79
368,B,932.2
192,A,708.05
292,B,906.78
246,B,812.1
427,B,853.27
313,B,1110.29
81,A,687.13
47,A,592.58
287,B,1094.29
86,A,610.04
331,B,839.01
82,A,981.43
363,B,869.14
258,B,772.02
420,B,642.57
190,A,743.36
426,B,882.79
295,B,628.34
202,A,629.5
12,A,805.46
274,B,761.66
342,B,893.82
94,A,909.46
163,A,890.75
417,B,823.1
42,A,850.18
175,A,859.1
193,A,988.56
96,A,872.76
107,A,754.8
93,A,743.26
67,A,895.82
205,A,878.78
24,A,730.83
428,B,615.74
14,A,800.25
186,A,722.54
62,A,919.6
371,B,933.91
172,A,898.41
422,B,652.58
103,A,858.02
40,A,712.24
341,B,1056.26
272,B,800.26
380,B,849.76
140,A,803.48
99,A,815.84
362,B,950.57
306,B,915.66
300,B,809.35
321,B,991.63
418,B,1007.15
208,A,838.92
128,A,937.46
83,A,653.97
393,B,930.87
147,A,850.71
28,A,662.88
90,A,1014.87
332,B,1154.9
74,A,
70,A,750.16
174,A,858.13
92,A,586.85
187,A,792.33
356,B,944.83
323,B,751.49
126,A,960.33
60,A,863.11
121,A,895.5
13,A,906.45
330,B,958.34
188,A,744.76
430,B,1189.46
181,A,819.83
288,B,915.3
379,B,1126.56
365,B,846.12
348,B,1017.53
207,A,941.38
383,B,780.38
252,B,971.97
89,A,849.73
132,A,629.51
125,A,842.95
299,B,831.42
15,A,768.72
339,B,945.16
198,A,1050.64
124,A,772.52
139,A,950.21
112,A,886.93
52,A,924.85
113,A,1092.05
10,A,577.85
222,B,846.4
17,A,925.19
224,B,517.42
1,A,822.45
106,A,650.96
366,B,897.96
415,B,848.55
409,B,858.57
364,B,1009.38
71,A,959.21
234,B,1028.77
39,A,791.1
151,A,847.29
250,B,969.83
164,A,888.45
168,A,796.5
390,B,850.77
215,A,676.22
233,B,861.22
405,B,743.24
146,A,805.97
225,B,893.74
296,B,1064.64
43,A,960.85
161,A,868.09
346,B,769.59
229,B,637.52
259,B,956.16
261,B,920.35
423,B,889.88
340,B,812.33
402,B,752.45
305,B,673.2
230,B,723.51
360,B,690.76
148,A,773.94
347,B,446.15
101,A,722.52
35,A,911.24
189,A,855.85
111,A,991.48
176,A,830.08
54,A,870.22
136,A,888.5
401,B,920.93
155,A,723.91
20,A,907.14
143,A,754.55
389,B,775.8
159,A,1094.83
293,B,765.12
45,A,731.99
291,B,792.76
114,A,826.13
271,B,955.26
212,A,695.62
109,A,793.23
369,B,798.27
170,A,834.39
80,A,805.8
406,B,859.22
273,B,579.58
85,A,987.24
9,A,915.1
251,B,1006.14
100,A,791.51
373,B,912.52
352,B,930.7
343,B,853.36
223,B,878.43
29,A,623.98
32,A,787.69
315,B,891.17
56,A,644.84
408,B,978.02
33,A,721.33
294,B,906.4
49,A,
354,B,493.79
276,B,960.36
410,B,785.58
34,A,868.05
36,A,779.0
64,A,815.63
333,B,1004.69
235,B,825.4
421,B,859.14
46,A,709.04
178,A,796.61
220,A,908.75
326,B,1055.77
22,A,621.13
249,B,802.5
200,A,880.24
138,A,923.54
25,A,568.36
185,A,718.85
206,A,851.93
135,A,893.39
117,A,990.1
213,A,
387,B,957.15
367,B,640.0
284,B,946.12
232,B,1114.91
218,A,943.02
57,A,897.81
338,B,1059.29
355,B,830.05
312,B,859.24
182,A,893.57
98,A,856.63
115,A,758.02
279,B,935.5
119,A,711.28
374,B,862.96
171,A,757.22
370,B,917.5
55,A,942.24
177,A,759.79
195,A,666.22
199,A,619.82
183,A,645.28
350,B,832.86
104,A,805.91
221,B,796.87
131,A,540.03
310,B,692.35
61,A,785.45
95,A,1023.32
194,A,823.75
141,A,727.22
149,A,567.92
203,A,857.04
153,A,893.12
349,B,949.97
11,A,1021.65
270,B,689.98
97,A,721.0
211,A,900.13
241,B,950.88
58,A,896.36
302,B,693.21
327,B,447.67
37,A,888.81
384,B,752.65
21,A,704.86
378,B,776.81
76,A,1050.85
201,A,888.67
78,A,932.81
264,B,677.53
424,B,684.43
150,A,808.6
377,B,
3,A,977.21
53,A,899.56
263,B,1096.46
254,B,806.61
260,B,1054.36
334,B,998.56
322,B,884.44
184,A,933.41
152,A,958.98
388,B,674.96
303,B,924.62
191,A,678.97
75,A,981.77
244,B,831.81
416,B,802.14
88,A,647.8
240,B,910.33
144,A,671.12
412,B,1013.26
267,B,685.95
289,B,822.61
137,A,989.9
167,A,622.68
84,A,891.7
381,B,1013.77
156,A,1079.38
357,B,1106.45
280,B,833.35
127,A,820.87
196,A,819.09
266,B,862.57
395,B,929.71
105,A,789.18
154,A,734.34
283,B,909.09
227,B,760.39
26,A,712.17
197,A,615.73
65,A,862.57
16,A,878.2
298,B,627.81
372,B,847.42
110,A,630.84
337,B,916.03
309,B,593.23
27,A,757.21
77,A,613.44
44,A,651.0
281,B,1041.54
4,A,751.66
407,B,830.91
50,A,721.96
419,B,881.79
31,A,934.64
122,A,710.06
116,A,629.81
400,B,930.01
217,A,1038.08
265,B,940.51
210,A,801.53
317,B,750.17
385,B,883.02
2,A,994.77
314,B,759.28
23,A,869.35
318,B,729.42
320,B,858.32
8,A,810.71
425,B,675.41
142,A,722.9
87,A,778.67
353,B,920.74
242,B,735.49
216,A,865.48
69,A,
51,A,998.13
399,B,918.13
157,A,916.36
253,B,1022.12
396,B,791.2
403,B,946.45
358,B,1141.04
255,B,975.97
277,B,889.83
179,A,753.57
282,B,887.3
391,B,1105.11
238,B,
72,A,896.68
130,A,860.61
145,A,746.83
336,B,858.96
134,A,741.28
204,A,947.63
394,B,783.99
256,B,1168.67
73,A,794.86
397,B,919.68
236,B,578.2
38,A,953.57
