id_usuario,grupo,edad,region,conversion,gasto,tiempo_sitio
54,A,36.0,Occidente,0,402.66,36.7
698,A,31.0,Sureste,0,114.61,33.0
744,A,39.0,Sureste,0,463.82,159.9
424,A,21.0,Sur,0,679.51,153.0
285,A,34.0,Occidente,0,694.98,61.7
271,A,18.0,Occidente,0,268.41,21.2
386,A,30.0,Norte,0,344.56,70.8
686,A,46.0,Sur,0,347.9,61.3
706,A,45.0,Centro,0,159.99,31.5
359,A,32.0,Sur,0,420.55,153.0
447,A,37.0,Norte,0,914.97,53.9
180,A,48.0,Sur,0,334.35,15.0
1026,B,29.0,Sur,0,175.37,50.8
307,A,42.0,Centro,0,392.9,196.3
964,B,37.0,Centro,0,817.51,50.0
100,A,44.0,Occidente,0,469.72,48.5
225,A,44.0,Sur,0,326.1,
47,A,35.0,Occidente,0,680.28,32.4
509,A,41.0,Occidente,0,211.76,105.2
798,A,23.0,Centro,0,466.81,48.7
326,A,39.0,Centro,0,231.05,92.9
958,B,32.0,Sur,0,386.16,60.4
55,A,47.0,Centro,0,263.57,
171,A,,Centro,1,466.34,66.4
306,A,25.0,Occidente,0,612.1,90.2
126,A,41.0,Centro,1,359.14,19.2
475,A,38.0,Centro,0,587.41,95.4
868,A,40.0,Sureste,0,340.26,75.0
649,A,32.0,Occidente,0,85.33,43.8
524,A,30.0,Sureste,0,78.37,164.0
670,A,26.0,Sureste,0,118.76,72.1
740,A,34.0,Centro,0,517.5,22.8
436,A,43.0,Sureste,0,85.56,55.3
923,A,41.0,Occidente,0,879.6,47.3
564,A,26.0,Centro,1,567.63,18.9
994,B,25.0,Sur,0,161.53,24.3
114,A,29.0,Sur,1,52.92,98.7
558,A,37.0,Norte,0,738.44,177.7
1115,B,25.0,Occidente,0,324.75,140.3
1033,B,36.0,Centro,0,104.72,183.2
552,A,48.0,Sur,0,207.94,136.6
814,A,31.0,Sur,0,416.82,31.1
650,A,38.0,Norte,1,278.19,174.6
10,A,28.0,Centro,0,604.79,144.7
431,A,18.0,Sureste,0,494.72,71.2
98,A,43.0,Centro,0,470.76,181.4
1068,B,35.0,Norte,0,367.18,484.4
450,A,30.0,Centro,0,105.03,173.6
129,A,42.0,Centro,0,132.95,61.2
458,A,41.0,Norte,0,368.09,112.3
206,A,,Occidente,0,233.6,54.3
375,A,31.0,Sur,0,734.98,97.2
901,A,30.0,Norte,0,245.08,224.1
841,A,47.0,Centro,0,312.4,29.9
35,A,24.0,Occidente,0,829.41,
172,A,37.0,Sur,0,280.84,28.5
910,A,25.0,Norte,0,108.82,72.5
124,A,48.0,Sur,0,494.21,64.9
579,A,47.0,Occidente,0,541.75,111.2
147,A,40.0,Norte,0,645.49,112.1
