fecha,ventas,unidades,promociones,temperatura,region
2024-01-01,53.99,5,0,12.9,Oeste
2024-01-02,49.61,5,0,12.1,Este
2024-01-03,71.63,7,0,15.5,Oeste
2024-01-04,73.74,9,0,14.2,Este
2024-01-05,85.49,5,0,12.8,Este
2024-01-06,95.38,7,1,15.4,Este
2024-01-07,50.08,3,0,13.4,Oeste
2024-01-08,76.11,5,0,12.2,Norte
2024-01-09,61.61,4,0,15.9,Sur
2024-01-10,75.22,6,0,13.6,Norte
2024-01-11,63.08,4,0,13.9,Oeste
2024-01-12,106.75,9,0,14.7,Norte
2024-01-13,98.31,8,0,16.4,Este
2024-01-14,68.04,6,0,14.8,Este
2024-01-15,90.8,8,0,13.0,Oeste
2024-01-16,86.12,8,0,15.7,Centro
2024-01-17,71.3,5,0,14.2,Este
2024-01-18,73.86,8,0,17.9,Este
2024-01-19,91.97,8,0,15.1,Oeste
2024-01-20,107.77,6,0,11.8,Oeste
2024-01-21,67.06,4,0,15.8,Sur
2024-01-22,66.62,3,0,18.3,Sur
2024-01-23,111.73,9,1,17.8,Centro
2024-01-24,76.36,6,0,18.3,Oeste
2024-01-25,105.98,8,0,14.1,Centro
2024-01-26,99.38,10,0,17.1,Este
2024-01-27,123.82,11,0,14.7,Este
2024-01-28,75.04,7,0,16.2,Norte
2024-01-29,83.6,6,0,14.0,Centro
2024-01-30,70.24,4,0,15.1,Centro
2024-01-31,72.46,6,0,15.1,Oeste
2024-02-01,130.52,11,1,17.6,Norte
2024-02-02,111.95,7,0,17.5,Centro
2024-02-03,110.0,9,0,16.8,Este
2024-02-04,62.28,5,0,14.5,Centro
2024-02-05,64.1,5,0,16.1,Oeste
2024-02-06,66.99,4,0,15.6,Centro
2024-02-07,67.15,5,0,18.1,Centro
2024-02-08,91.49,7,0,18.6,Centro
2024-02-09,117.22,9,0,18.6,Norte
2024-02-10,113.42,10,0,15.9,Norte
2024-02-11,56.53,6,0,13.1,Este
2024-02-12,79.82,6,0,14.6,Norte
2024-02-13,83.7,6,0,19.5,Centro
2024-02-14,109.89,9,0,16.9,Centro
2024-02-15,79.97,7,0,16.4,Centro
2024-02-16,106.24,8,0,20.1,Oeste
2024-02-17,134.83,12,0,19.7,Centro
2024-02-18,87.89,8,0,17.9,Oeste
2024-02-19,91.65,9,0,17.5,Centro
2024-02-20,90.79,9,0,17.9,Centro
2024-02-21,96.58,7,0,18.5,Centro
2024-02-22,106.7,9,0,20.7,Centro
2024-02-23,106.47,9,0,19.0,Este
2024-02-24,130.99,10,0,19.6,Norte
2024-02-25,74.13,5,0,20.3,Centro
2024-02-26,93.8,6,0,16.9,Sur
2024-02-27,95.96,8,0,19.9,Sur
2024-02-28,91.67,6,0,18.5,Oeste
2024-02-29,103.27,8,0,15.2,Oeste
2024-03-01,112.94,8,0,15.9,Sur
2024-03-02,116.12,8,0,17.7,Este
2024-03-03,88.98,7,0,20.1,Este
2024-03-04,84.15,7,0,19.6,Norte
2024-03-05,102.09,9,0,19.8,Este
2024-03-06,91.04,10,0,22.5,Centro
2024-03-07,115.35,10,0,17.8,Este
2024-03-08,112.1,10,0,19.8,Oeste
2024-03-09,125.93,9,0,20.4,Centro
2024-03-10,91.04,6,0,18.9,Este
2024-03-11,113.23,11,0,20.2,Oeste
2024-03-12,106.97,7,0,17.8,Centro
2024-03-13,105.24,7,0,22.4,Norte
2024-03-14,118.04,9,0,19.4,Oeste
2024-03-15,107.67,9,0,23.6,Oeste
2024-03-16,136.01,10,0,20.6,Centro
2024-03-17,122.11,9,0,22.3,Centro
2024-03-18,106.15,10,0,20.7,Sur
2024-03-19,109.2,8,0,20.9,Centro
2024-03-20,117.7,8,0,20.1,Centro
2024-03-21,126.87,11,0,,Centro
2024-03-22,113.64,10,0,21.7,Centro
2024-03-23,124.48,9,0,20.1,Sur
2024-03-24,109.11,7,0,21.2,Sur
2024-03-25,102.55,7,0,20.6,Sur
2024-03-26,126.51,10,0,25.0,Este
2024-03-27,113.93,11,0,21.6,Norte
2024-03-28,103.43,7,0,24.1,Centro
2024-03-29,125.79,10,0,21.6,Centro
2024-03-30,118.66,10,0,22.3,Centro
2024-03-31,109.5,6,0,20.1,Centro
2024-04-01,112.65,10,0,21.5,Centro
2024-04-02,113.97,8,0,22.5,Centro
2024-04-03,132.68,11,0,24.7,Centro
2024-04-04,139.56,11,0,22.7,Sur
2024-04-05,141.55,13,0,24.6,Sur
2024-04-06,129.58,11,0,23.5,Oeste
2024-04-07,122.77,7,0,25.1,Este
2024-04-08,124.83,9,0,22.6,Sur
2024-04-09,154.27,13,1,26.4,Centro
2024-04-10,136.42,11,0,22.2,Sur
2024-04-11,120.62,10,0,21.8,Centro
2024-04-12,168.01,14,0,21.2,Norte
2024-04-13,191.28,16,1,26.6,Centro
2024-04-14,128.72,10,0,24.4,Norte
2024-04-15,107.0,6,0,22.8,Centro
2024-04-16,118.22,9,0,25.2,Sur
2024-04-17,146.32,12,0,24.4,Este
2024-04-18,134.18,9,0,26.4,Este
2024-04-19,160.82,14,0,21.2,Sur
2024-04-20,162.42,14,0,23.2,Norte
2024-04-21,124.62,10,0,23.0,Centro
2024-04-22,141.93,8,0,20.8,Este
2024-04-23,129.54,9,0,25.4,Norte
2024-04-24,117.7,12,0,23.5,Centro
2024-04-25,133.08,10,0,25.0,Centro
2024-04-26,162.22,11,0,27.5,Oeste
2024-04-27,168.26,15,0,23.5,Sur
2024-04-28,114.22,9,0,23.5,Norte
2024-04-29,125.23,11,0,24.3,Sur
2024-04-30,130.23,11,0,25.7,Norte
2024-05-01,135.96,11,0,23.4,Norte
2024-05-02,131.42,11,0,23.4,Centro
2024-05-03,154.46,13,0,25.9,Norte
2024-05-04,161.01,16,0,25.0,Sur
2024-05-05,141.55,12,0,21.4,Centro
2024-05-06,144.47,10,0,22.6,Este
2024-05-07,138.45,12,0,26.8,Centro
2024-05-08,139.52,13,0,25.2,Sur
2024-05-09,150.36,13,0,23.5,Sur
2024-05-10,156.31,12,0,24.4,Sur
2024-05-11,160.51,14,0,24.7,Sur
2024-05-12,128.07,11,0,25.8,Oeste
2024-05-13,133.62,14,0,22.7,Norte
2024-05-14,131.82,10,0,23.5,Este
2024-05-15,148.55,11,0,25.2,Este
2024-05-16,206.12,16,1,24.7,Centro
2024-05-17,152.0,12,0,25.7,Centro
2024-05-18,175.57,13,0,23.0,Norte
2024-05-19,138.57,8,0,25.4,Centro
2024-05-20,146.63,11,0,26.5,Centro
2024-05-21,146.52,12,0,25.7,Centro
2024-05-22,135.54,10,0,25.1,Sur
2024-05-23,142.87,14,0,24.8,Centro
2024-05-24,171.19,14,0,23.7,Este
2024-05-25,188.59,17,0,24.9,Norte
2024-05-26,121.55,10,0,26.9,Este
2024-05-27,149.54,13,0,24.8,Centro
2024-05-28,161.35,13,0,23.7,Norte
2024-05-29,151.3,14,0,24.3,Centro
2024-05-30,163.69,13,0,25.3,Sur
2024-05-31,166.51,14,0,24.4,Centro
2024-06-01,179.69,15,0,25.7,Oeste
2024-06-02,130.01,10,0,25.8,Centro
2024-06-03,125.1,10,0,26.3,Sur
2024-06-04,161.29,16,0,27.1,Centro
2024-06-05,145.33,11,0,26.5,Sur
2024-06-06,155.92,13,0,23.6,Norte
2024-06-07,161.91,14,0,23.6,Centro
2024-06-08,168.95,15,0,24.8,Centro
2024-06-09,146.59,12,0,24.2,Centro
2024-06-10,143.3,9,0,23.2,Centro
2024-06-11,157.63,13,0,24.2,Oeste
2024-06-12,161.63,10,0,24.1,Norte
2024-06-13,165.55,15,0,23.8,Centro
2024-06-14,179.96,15,0,24.3,Oeste
2024-06-15,200.58,17,0,26.6,Centro
2024-06-16,139.34,10,0,25.1,Norte
2024-06-17,151.67,10,0,28.4,Este
2024-06-18,203.97,17,1,24.9,Oeste
2024-06-19,171.24,14,0,24.2,Este
2024-06-20,149.56,11,0,24.6,Norte
2024-06-21,175.82,14,0,25.0,Oeste
2024-06-22,199.69,19,0,25.2,Centro
2024-06-23,156.34,14,0,27.6,Oeste
2024-06-24,155.36,14,0,23.2,Este
2024-06-25,154.36,13,0,25.7,Oeste
2024-06-26,190.0,17,1,24.7,Centro
2024-06-27,167.66,13,0,22.0,Centro
2024-06-28,177.36,12,0,25.4,Sur
2024-06-29,186.56,15,0,26.1,Norte
2024-06-30,152.86,13,0,22.9,Norte
2024-07-01,147.37,11,0,24.1,Oeste
2024-07-02,162.55,13,0,21.5,Sur
2024-07-03,189.43,14,0,22.1,Centro
2024-07-04,147.58,14,0,25.5,Norte
2024-07-05,183.63,16,0,23.2,Centro
2024-07-06,179.83,15,0,22.2,Centro
2024-07-07,158.24,13,0,24.1,Centro
2024-07-08,154.95,12,0,22.9,Este
2024-07-09,165.11,13,0,22.9,Este
2024-07-10,172.26,12,0,24.7,Norte
2024-07-11,167.42,11,0,21.8,Centro
2024-07-12,191.8,16,0,22.1,Sur
2024-07-13,164.02,14,0,23.6,Este
2024-07-14,168.34,15,0,24.8,Oeste
2024-07-15,158.15,15,0,25.1,Norte
2024-07-16,168.13,15,0,22.2,Este
2024-07-17,148.1,11,0,24.5,Norte
2024-07-18,156.93,12,0,21.8,Norte
2024-07-19,181.63,15,0,25.7,Oeste
2024-07-20,220.75,21,1,21.2,Centro
2024-07-21,154.84,14,0,24.8,Centro
2024-07-22,164.77,15,0,21.7,Centro
2024-07-23,139.17,11,0,25.6,Norte
2024-07-24,169.45,12,0,23.4,Norte
2024-07-25,164.68,14,0,20.9,Sur
2024-07-26,177.44,13,0,21.6,Norte
2024-07-27,171.64,13,0,23.5,Centro
2024-07-28,156.25,12,0,23.8,Oeste
2024-07-29,128.93,12,0,22.0,Centro
2024-07-30,162.41,13,0,22.1,Oeste
2024-07-31,143.85,9,0,23.1,Centro
2024-08-01,164.14,14,0,22.0,Sur
2024-08-02,177.25,13,0,19.8,Norte
2024-08-03,196.96,16,0,20.4,Este
2024-08-04,148.3,12,0,21.9,Centro
2024-08-05,144.95,11,0,23.3,Oeste
2024-08-06,149.63,13,0,23.8,Norte
2024-08-07,170.23,12,0,22.4,Sur
2024-08-08,167.66,13,0,21.6,Norte
2024-08-09,173.22,15,0,22.2,Centro
2024-08-10,181.5,14,0,20.0,Norte
2024-08-11,166.64,11,1,20.7,Centro
2024-08-12,154.29,13,0,19.6,Centro
2024-08-13,135.58,12,0,18.8,Sur
2024-08-14,163.45,13,0,21.1,Norte
2024-08-15,161.98,11,0,20.8,Centro
2024-08-16,199.31,17,0,21.4,Centro
2024-08-17,171.19,12,0,21.1,Centro
2024-08-18,145.9,12,0,20.6,Centro
2024-08-19,166.65,12,0,20.9,Sur
2024-08-20,211.49,16,1,19.9,Centro
2024-08-21,147.16,11,0,20.5,Oeste
2024-08-22,161.09,13,0,18.7,Centro
2024-08-23,173.59,13,0,20.2,Centro
2024-08-24,183.1,15,0,20.6,Oeste
2024-08-25,138.0,11,0,18.5,Centro
2024-08-26,145.81,13,0,19.5,Norte
2024-08-27,133.42,11,0,18.3,Oeste
2024-08-28,153.46,11,0,18.4,Oeste
2024-08-29,161.3,12,0,17.4,Este
2024-08-30,169.22,12,0,20.9,Centro
2024-08-31,162.04,13,0,20.5,Sur
2024-09-01,152.76,12,0,19.6,Oeste
2024-09-02,148.21,9,0,21.6,Oeste
2024-09-03,139.99,11,0,18.3,Centro
2024-09-04,147.12,11,0,23.0,Centro
2024-09-05,139.6,13,0,18.0,Centro
2024-09-06,159.03,11,0,18.6,Centro
2024-09-07,170.58,12,0,17.5,Sur
2024-09-08,152.92,14,0,18.6,Centro
2024-09-09,135.91,13,0,19.2,Centro
2024-09-10,151.38,11,0,17.7,Centro
2024-09-11,142.26,11,0,20.4,Norte
2024-09-12,154.79,13,0,18.0,Centro
2024-09-13,165.56,10,0,17.9,Norte
2024-09-14,182.37,12,0,16.1,Centro
2024-09-15,132.96,10,0,18.0,Oeste
2024-09-16,124.25,12,0,17.0,Centro
2024-09-17,128.82,10,0,16.2,Norte
2024-09-18,139.98,11,0,15.9,Centro
2024-09-19,137.48,12,0,20.9,Centro
2024-09-20,168.73,16,0,16.4,Centro
2024-09-21,166.64,13,0,14.6,Centro
2024-09-22,159.71,13,0,15.6,Centro
2024-09-23,120.25,12,0,16.5,Norte
2024-09-24,142.33,10,0,17.3,Sur
2024-09-25,131.68,12,0,17.2,Centro
2024-09-26,142.69,10,0,17.3,Norte
2024-09-27,163.71,13,0,15.2,Sur
2024-09-28,145.71,11,0,16.6,Centro
2024-09-29,136.0,10,0,14.7,Centro
2024-09-30,154.34,11,0,15.0,Centro
2024-10-01,133.45,11,0,14.5,Centro
2024-10-02,143.26,13,0,14.0,Norte
2024-10-03,155.59,12,0,17.3,Oeste
2024-10-04,158.38,13,0,16.6,Oeste
2024-10-05,160.89,14,0,17.0,Oeste
2024-10-06,108.63,8,0,15.5,Norte
2024-10-07,139.48,12,0,16.5,Centro
2024-10-08,134.63,12,0,12.6,Centro
2024-10-09,128.33,13,0,16.5,Centro
2024-10-10,144.42,11,0,15.3,Centro
2024-10-11,152.02,12,0,15.9,Centro
2024-10-12,159.28,14,0,15.5,Norte
2024-10-13,135.33,12,0,13.4,Centro
2024-10-14,117.59,9,0,12.5,Centro
2024-10-15,144.16,11,0,13.6,Este
2024-10-16,122.43,10,0,15.5,Centro
2024-10-17,134.5,10,0,15.6,Oeste
2024-10-18,175.09,14,0,12.4,Centro
2024-10-19,173.86,14,0,13.0,Norte
2024-10-20,128.3,11,0,13.3,Centro
2024-10-21,119.66,9,0,13.8,Norte
2024-10-22,126.51,8,0,12.2,Centro
2024-10-23,171.26,11,1,12.0,Centro
2024-10-24,139.69,10,0,12.9,Sur
2024-10-25,153.16,11,0,14.2,Centro
2024-10-26,160.53,13,0,12.2,Centro
2024-10-27,123.46,8,0,13.8,Oeste
