fecha,ventas,unidades,categoria
2025-01-01,41.21,5,Ropa
2025-01-02,51.73,6,Alimentos
2025-01-03,51.06,5,Ropa
2025-01-04,49.62,7,Electronica
2025-01-05,42.36,4,Electronica
2025-01-06,44.25,4,Electronica
2025-01-07,41.33,6,Ropa
2025-01-08,37.81,5,Electronica
2025-01-09,50.58,5,Electronica
2025-01-10,47.83,6,Electronica
2025-01-11,59.02,7,Hogar
2025-01-12,35.09,1,Electronica
2025-01-13,47.39,4,Electronica
2025-01-14,41.08,5,Ropa
2025-01-15,43.63,4,Electronica
2025-01-16,64.6,7,Hogar
2025-01-17,61.54,8,Hogar
2025-01-18,69.61,7,Ropa
2025-01-19,38.81,3,Ropa
2025-01-20,38.39,5,Ropa
2025-01-21,29.43,3,Electronica
2025-01-22,54.69,6,Electronica
2025-01-23,55.23,6,Electronica
2025-01-24,59.02,9,Electronica
2025-01-25,67.51,5,Ropa
2025-01-26,47.81,5,Electronica
2025-01-27,32.98,4,Electronica
2025-01-28,41.93,4,Ropa
2025-01-29,41.31,5,Ropa
2025-01-30,65.88,8,Electronica
2025-01-31,67.82,7,Electronica
2025-02-01,54.49,6,Electronica
2025-02-02,33.54,4,Electronica
2025-02-03,44.43,5,Alimentos
2025-02-04,44.28,5,Hogar
2025-02-05,41.55,4,Ropa
2025-02-07,65.49,8,Alimentos
2025-02-08,74.88,7,Alimentos
2025-02-09,40.96,4,Electronica
2025-02-10,52.11,4,Electronica
2025-02-11,46.65,6,Ropa
2025-02-12,50.59,6,Ropa
2025-02-13,61.12,7,Electronica
2025-02-14,53.71,5,Electronica
2025-02-15,84.56,11,Ropa
2025-02-16,48.94,5,Electronica
2025-02-17,57.91,7,Ropa
2025-02-18,43.7,6,Alimentos
2025-02-19,48.05,4,Ropa
2025-02-20,50.67,5,Electronica
2025-02-21,68.85,8,Electronica
2025-02-22,75.85,11,Alimentos
2025-02-23,46.44,5,Ropa
2025-02-24,43.9,6,Electronica
2025-02-25,44.43,6,Electronica
2025-02-26,56.27,7,Alimentos
2025-02-27,57.66,5,Alimentos
2025-02-28,64.44,8,Hogar
2025-03-01,88.38,8,Alimentos
2025-03-02,51.3,7,Ropa
2025-03-03,62.09,7,Ropa
2025-03-04,51.79,3,Electronica
2025-03-06,62.8,8,Ropa
2025-03-07,59.64,6,Electronica
2025-03-08,89.85,11,Hogar
2025-03-09,53.25,5,Ropa
2025-03-10,60.76,5,Electronica
2025-03-11,52.61,6,Ropa
2025-03-12,60.07,7,Hogar
2025-03-13,59.5,6,Hogar
2025-03-14,82.57,10,Ropa
2025-03-15,84.45,9,Hogar
2025-03-16,59.2,7,Hogar
2025-03-17,67.49,8,Alimentos
2025-03-18,68.43,6,Hogar
2025-03-19,69.06,6,Ropa
2025-03-20,58.11,6,Alimentos
2025-03-21,71.55,10,Ropa
2025-03-22,77.76,9,Alimentos
2025-03-23,64.24,5,Electronica
2025-03-24,61.71,4,Alimentos
2025-03-25,53.15,7,Hogar
2025-03-26,64.93,7,Ropa
2025-03-27,60.16,8,Hogar
2025-03-28,78.62,8,Ropa
2025-03-29,75.78,9,Electronica
2025-03-30,65.44,8,Electronica
2025-03-31,65.76,7,Alimentos
2025-04-01,78.84,8,Ropa
2025-04-02,74.8,8,Ropa
2025-04-03,70.28,8,Alimentos
2025-04-04,87.34,10,Ropa
2025-04-05,80.21,10,Ropa
2025-04-06,57.63,6,Hogar
2025-04-07,68.08,6,Alimentos
2025-04-09,71.24,7,Ropa
2025-04-10,68.74,7,Hogar
2025-04-11,84.97,9,Electronica
2025-04-12,85.09,10,Electronica
2025-04-13,69.98,7,Electronica
2025-04-14,68.53,8,Ropa
2025-04-15,80.57,9,Alimentos
2025-04-16,74.19,8,Alimentos
2025-04-17,73.14,6,Ropa
2025-04-18,85.17,11,Electronica
2025-04-19,85.86,9,Alimentos
2025-04-20,72.49,9,Hogar
2025-04-21,75.15,7,Electronica
2025-04-22,90.68,10,Electronica
2025-04-23,72.41,7,Electronica
2025-04-24,79.26,10,Ropa
2025-04-25,85.48,9,Electronica
2025-04-26,99.36,12,Ropa
2025-04-27,74.92,8,Alimentos
2025-04-28,73.24,8,Ropa
2025-04-29,83.58,9,Ropa
2025-04-30,75.02,10,Electronica
2025-05-01,90.6,8,Hogar
2025-05-02,95.83,9,Ropa
2025-05-03,100.34,9,Ropa
2025-05-04,72.57,7,Electronica
2025-05-05,93.12,10,Alimentos
2025-05-06,72.77,6,Hogar
2025-05-07,83.92,9,Electronica
2025-05-08,80.94,7,Electronica
2025-05-09,107.04,11,Electronica
2025-05-10,109.09,13,Alimentos
2025-05-11,72.48,8,Hogar
2025-05-12,82.15,9,Ropa
2025-05-13,82.71,8,Ropa
2025-05-14,80.63,7,Alimentos
2025-05-15,93.88,9,Alimentos
2025-05-16,99.63,11,Electronica
2025-05-17,106.75,13,Electronica
2025-05-18,79.27,10,Ropa
2025-05-19,83.9,10,Alimentos
2025-05-20,84.81,9,Alimentos
2025-05-21,86.94,10,Alimentos
2025-05-22,86.35,9,Alimentos
2025-05-23,111.01,12,Electronica
2025-05-24,100.11,13,Ropa
2025-05-25,84.76,8,Electronica
2025-05-26,80.83,9,Hogar
2025-05-27,97.69,12,Ropa
2025-05-28,82.34,8,Electronica
2025-05-29,87.81,9,Electronica
2025-05-30,94.46,10,Alimentos
2025-05-31,111.8,12,Alimentos
2025-06-01,74.21,7,Alimentos
2025-06-02,81.75,10,Electronica
2025-06-03,72.31,9,Hogar
2025-06-04,92.33,11,Alimentos
2025-06-05,91.41,9,Alimentos
2025-06-06,92.77,10,Alimentos
2025-06-07,119.04,12,Hogar
2025-06-08,76.55,8,Hogar
2025-06-09,92.53,12,Ropa
2025-06-10,84.3,9,Ropa
2025-06-11,103.66,10,Ropa
2025-06-12,101.94,12,Alimentos
2025-06-13,97.88,10,Alimentos
2025-06-14,106.75,11,Electronica
2025-06-15,91.64,9,Electronica
2025-06-16,86.79,9,Hogar
2025-06-17,89.66,11,Hogar
2025-06-18,102.97,12,Hogar
2025-06-19,93.04,11,Ropa
2025-06-20,107.13,11,Alimentos
2025-06-21,121.38,13,Alimentos
2025-06-22,94.57,11,Ropa
2025-06-23,88.98,9,Electronica
2025-06-24,90.27,10,Hogar
2025-06-25,83.31,10,Electronica
2025-06-27,110.08,12,Alimentos
2025-06-28,115.06,14,Alimentos
2025-06-29,90.72,10,Electronica
2025-06-30,98.64,12,Alimentos
2025-07-01,85.22,10,Electronica
2025-07-02,95.03,9,Alimentos
2025-07-03,102.16,10,Electronica
2025-07-04,104.06,11,Alimentos
2025-07-05,127.16,13,Alimentos
2025-07-06,97.64,11,Electronica
2025-07-07,94.45,11,Electronica
2025-07-08,107.11,13,Alimentos
2025-07-09,87.18,10,Electronica
2025-07-10,101.75,11,Electronica
2025-07-11,112.48,10,Ropa
2025-07-12,111.63,12,Hogar
2025-07-13,94.25,10,Ropa
2025-07-14,85.5,10,Ropa
2025-07-15,100.19,13,Hogar
2025-07-16,105.85,13,Ropa
2025-07-17,104.45,12,Ropa
2025-07-18,97.66,10,Ropa
2025-07-19,111.95,12,Ropa
2025-07-20,96.75,11,Ropa
2025-07-21,94.02,10,Alimentos
2025-07-22,77.08,9,Electronica
2025-07-23,107.7,12,Alimentos
2025-07-24,104.02,10,Electronica
2025-07-25,105.39,13,Ropa
2025-07-26,126.14,14,Electronica
2025-07-27,88.48,8,Ropa
2025-07-28,89.45,10,Alimentos
2025-07-29,98.82,11,Ropa
2025-07-30,111.82,13,Electronica
2025-07-31,114.75,12,Electronica
2025-08-01,113.93,13,Alimentos
2025-08-02,122.67,14,Electronica
2025-08-03,98.99,10,Alimentos
2025-08-04,85.67,8,Ropa
2025-08-05,100.99,12,Electronica
2025-08-06,94.35,12,Alimentos
2025-08-07,105.72,12,Ropa
2025-08-08,109.9,14,Electronica
2025-08-09,122.99,15,Hogar
2025-08-10,94.3,11,Electronica
2025-08-11,72.95,7,Ropa
2025-08-12,97.7,13,Ropa
2025-08-13,103.93,12,Ropa
2025-08-14,106.53,11,Alimentos
2025-08-15,110.66,12,Electronica
2025-08-17,95.5,9,Alimentos
2025-08-18,97.34,12,Hogar
2025-08-19,103.55,11,Alimentos
2025-08-20,101.73,12,Hogar
2025-08-21,96.86,10,Alimentos
2025-08-22,94.03,10,Ropa
2025-08-23,115.7,12,Ropa
2025-08-24,98.31,11,Alimentos
2025-08-25,91.45,12,Ropa
2025-08-26,101.47,13,Alimentos
2025-08-27,99.83,11,Electronica
2025-08-28,111.74,12,Alimentos
2025-08-29,108.58,13,Electronica
2025-08-30,121.84,15,Hogar
2025-08-31,96.03,10,Electronica
2025-09-01,103.92,11,Electronica
2025-09-02,83.38,7,Alimentos
2025-09-03,95.03,12,Alimentos
2025-09-04,108.09,14,Alimentos
2025-09-05,120.88,14,Hogar
2025-09-06,119.64,11,Electronica
2025-09-07,89.81,11,Alimentos
2025-09-08,98.06,10,Ropa
