fecha,ventas,promociones,unidades
2022-09-01,14350.0,0,229
2022-10-01,14011.0,1,220
2022-11-01,15197.0,1,238
2022-12-01,15340.0,0,224
2023-01-01,16389.0,1,247
2023-02-01,16674.0,0,275
2023-03-01,17434.0,0,266
2023-04-01,16255.0,1,240
2023-05-01,15051.0,1,245
2023-06-01,16615.0,0,229
2023-07-01,20078.0,0,330
2023-08-01,22527.0,0,305
2023-09-01,14871.0,1,242
2023-10-01,14068.0,0,194
2023-11-01,16352.0,0,222
2023-12-01,15831.0,0,212
2024-01-01,16445.0,0,228
2024-02-01,17527.0,0,244
2024-03-01,17550.0,1,252
2024-04-01,16945.0,0,236
2024-05-01,16143.0,0,260
2024-06-01,18004.0,0,265
2024-07-01,20893.0,1,309
2024-08-01,22964.0,1,315
2024-09-01,15843.0,0,237
2024-10-01,14132.0,0,215
2024-11-01,16543.0,0,238
2024-12-01,16657.0,0,260
2025-01-01,17087.0,1,275
2025-02-01,17772.0,0,265
2025-03-01,18363.0,0,277
2025-04-01,18024.0,1,284
2025-05-01,16456.0,0,251
2025-06-01,18689.0,0,285
2025-07-01,21131.0,0,326
2025-08-01,23825.0,0,363
2025-09-01,16653.0,0,237
2025-10-01,15686.0,0,243
2025-11-01,17748.0,0,239
2025-12-01,17633.0,0,239
2026-01-01,18026.0,0,268
2026-02-01,18778.0,0,289
2026-03-01,19357.0,0,285
2026-04-01,18521.0,0,255
2026-05-01,17260.0,0,247
2026-06-01,19502.0,1,271
2026-07-01,22280.0,1,328
2026-08-01,25829.0,0,372
