fecha,ventas,promociones,unidades
2021-09-01,7567.0,0,165
2021-10-01,7383.0,1,150
2021-11-01,8005.0,0,176
2021-12-01,8342.0,0,167
2022-01-01,8001.0,0,166
2022-02-01,8372.0,0,180
2022-03-01,8798.0,0,191
2022-04-01,8678.0,0,171
2022-05-01,8606.0,0,184
2022-06-01,8217.0,0,151
2022-07-01,8393.0,1,165
2022-08-01,9733.0,0,201
2022-09-01,8055.0,0,158
2022-10-01,8400.0,0,186
2022-11-01,8483.0,0,155
2022-12-01,8486.0,0,170
2023-01-01,9051.0,0,171
2023-02-01,8987.0,1,196
2023-03-01,9503.0,0,191
2023-04-01,9277.0,0,186
2023-05-01,9109.0,1,168
2023-06-01,8795.0,0,173
2023-07-01,9009.0,0,181
2023-08-01,10068.0,0,211
2023-09-01,8486.0,0,176
2023-10-01,8615.0,0,172
2023-11-01,9037.0,0,183
2023-12-01,9295.0,0,206
2024-01-01,9601.0,0,180
2024-02-01,9833.0,0,182
2024-03-01,10321.0,0,222
2024-04-01,9739.0,0,193
2024-05-01,9577.0,0,208
2024-06-01,9306.0,0,180
2024-07-01,9416.0,0,197
2024-08-01,10890.0,0,211
2024-09-01,9095.0,0,174
2024-10-01,9047.0,1,172
2024-11-01,9279.0,1,201
2024-12-01,9898.0,0,183
2025-01-01,10214.0,0,216
2025-02-01,10398.0,1,229
2025-03-01,10244.0,1,203
2025-04-01,10419.0,0,214
2025-05-01,10256.0,0,192
2025-06-01,10073.0,0,190
2025-07-01,10012.0,0,208
2025-08-01,11231.0,1,206
2025-09-01,9809.0,0,205
2025-10-01,9787.0,0,195
2025-11-01,10064.0,0,212
2025-12-01,10434.0,0,192
2026-01-01,10269.0,0,220
2026-02-01,10748.0,1,236
2026-03-01,10827.0,1,219
2026-04-01,10767.0,0,196
2026-05-01,10709.0,0,199
2026-06-01,10894.0,0,208
2026-07-01,10170.0,0,189
2026-08-01,11935.0,0,221
