metros,habitaciones,banios,antiguedad,precio
139.9,2,1,6.0,3123000
114.5,2,1,12.0,2768000
145.9,3,1,1.0,3249000
180.9,4,2,16.0,4286000
110.6,1,3,6.0,2740000
110.6,5,2,9.0,3267000
183.2,2,2,19.0,3691000
150.7,3,1,23.0,3336000
101.2,4,4,16.0,2846000
141.7,4,2,4.0,3610000
101.5,4,1,15.0,2819000
101.4,4,2,16.0,3046000
129.7,3,1,14.0,3034000
43.5,4,2,26.0,1664000
51.0,2,2,11.0,1806000
97.5,4,3,25.0,2839000
79.5,3,2,25.0,2431000
132.6,4,3,16.0,3506000
83.7,3,4,12.0,2355000
63.5,3,1,14.0,1717000
178.6,3,1,30.0,3692000
111.0,4,2,21.0,3073000
122.7,2,2,4.0,3131000
63.0,2,2,13.0,2119000
98.2,2,4,5.0,2794000
124.4,2,3,6.0,3230000
74.0,4,2,7.0,2277000
135.0,2,2,3.0,3005000
96.0,5,3,4.0,3130000
108.3,3,4,27.0,2974000
95.9,2,3,6.0,2558000
194.1,4,1,18.0,4460000
119.5,4,2,11.0,3215000
77.7,3,1,15.0,2361000
152.9,3,1,15.0,3716000
71.2,4,1,4.0,2327000
128.4,2,2,18.0,3126000
41.6,5,2,3.0,2024000
66.9,5,1,6.0,2241000
127.9,4,2,15.0,3416000
149.5,2,2,4.0,3226000
126.9,4,2,1.0,3498000
115.4,2,1,13.0,2526000
108.0,1,2,2.0,2589000
60.9,2,3,16.0,1745000
91.2,3,1,8.0,2523000
101.6,4,1,13.0,2752000
162.3,4,2,13.0,3690000
133.7,4,4,17.0,3622000
49.5,3,2,16.0,1650000
133.0,3,2,4.0,3420000
104.6,3,2,8.0,2761000
92.9,5,2,13.0,2890000
144.5,1,1,26.0,2883000
161.2,4,2,16.0,3809000
157.3,3,4,24.0,3737000
86.4,3,2,13.0,2542000
107.6,4,3,21.0,3244000
133.3,3,3,12.0,3221000
159.0,4,1,20.0,3924000
100.8,5,4,8.0,2827000
112.6,3,1,28.0,2566000
75.7,2,2,14.0,1923000
72.2,3,1,3.0,1915000
152.5,5,1,13.0,3585000
174.2,2,2,16.0,3894000
117.1,3,1,19.0,2830000
160.1,3,2,34.0,3713000
134.5,4,2,7.0,3557000
94.2,2,1,34.0,2279000
134.5,4,1,10.0,3460000
181.5,5,2,5.0,4447000
118.6,2,2,7.0,2689000
182.6,2,3,15.0,4225000
35.0,5,2,5.0,1732000
152.9,2,3,8.0,3420000
123.5,4,2,13.0,3204000
108.0,3,2,28.0,2605000
123.7,2,2,18.0,2852000
40.5,4,1,10.0,1721000
111.2,3,2,15.0,2904000
134.3,3,3,12.0,3225000
179.1,3,2,3.0,4049000
99.3,3,3,31.0,2815000
87.7,2,3,28.0,2381000
99.9,3,3,9.0,3063000
156.6,5,4,7.0,4338000
133.2,2,2,4.0,3313000
98.8,4,2,16.0,2566000
140.5,3,2,16.0,3490000
123.9,4,2,5.0,3262000
158.7,2,2,12.0,3486000
91.9,5,3,18.0,2897000
106.9,3,2,7.0,2948000
104.3,2,2,9.0,2677000
61.5,2,1,8.0,1623000
131.8,2,2,5.0,3224000
130.4,3,1,9.0,3046000
120.2,3,3,2.0,3178000
110.6,4,2,8.0,2973000
63.4,3,1,8.0,1906000
103.2,2,1,10.0,2613000
106.3,3,2,14.0,2611000
87.9,4,2,3.0,2922000
113.5,2,2,4.0,2514000
136.2,2,1,5.0,3022000
195.4,1,2,3.0,4171000
127.0,4,2,15.0,3374000
130.3,4,2,6.0,3366000
117.0,3,2,10.0,2967000
43.2,4,2,5.0,1879000
118.9,4,1,7.0,3058000
122.4,3,4,13.0,3430000
218.5,4,2,13.0,5067000
112.3,2,2,4.0,2896000
132.1,2,1,9.0,2877000
118.6,2,2,5.0,2863000
73.3,2,1,9.0,1918000
165.7,3,2,6.0,3718000
150.1,5,4,32.0,3998000
151.6,1,2,18.0,3186000
83.6,2,1,13.0,2231000
176.1,3,1,8.0,3807000
63.9,5,2,18.0,2546000
143.5,3,1,10.0,3239000
207.6,3,1,30.0,4480000
80.4,1,3,19.0,2180000
97.3,2,2,7.0,2398000
124.0,5,1,28.0,3378000
99.9,5,4,8.0,2952000
58.0,1,1,33.0,1660000
122.7,5,4,29.0,3465000
77.5,3,2,12.0,2168000
138.9,4,3,2.0,3587000
83.2,3,2,12.0,2481000
182.0,3,3,4.0,4162000
88.7,3,4,6.0,2530000
107.1,4,1,6.0,2851000
152.5,2,4,4.0,3472000
70.8,1,2,12.0,2109000
129.1,3,2,5.0,3129000
172.3,4,2,8.0,4254000
55.7,2,2,6.0,1770000
127.4,4,1,14.0,3070000
130.4,5,2,14.0,3500000
151.3,2,2,8.0,3569000
70.5,4,3,15.0,2321000
67.2,3,3,23.0,2287000
140.9,4,2,1.0,3745000
131.9,2,2,6.0,3248000
130.0,4,1,4.0,3235000
133.9,4,1,6.0,3204000
92.8,5,1,1.0,2704000
129.3,4,2,1.0,3413000
131.7,3,1,7.0,3254000
91.4,3,4,6.0,2365000
194.6,4,2,25.0,4462000
139.0,3,2,11.0,3392000
72.3,1,2,14.0,1814000
146.3,5,1,45.0,3777000
81.0,4,2,30.0,2461000
151.5,4,2,10.0,3944000
166.3,2,2,7.0,3693000
87.2,4,2,6.0,2746000
158.5,3,4,13.0,4116000
136.5,4,3,7.0,3766000
152.9,2,2,4.0,3332000
195.9,4,2,6.0,4524000
110.2,5,2,13.0,3090000
89.9,1,1,16.0,2158000
84.4,5,2,32.0,2704000
87.4,3,1,11.0,2233000
116.9,4,2,24.0,3078000
133.6,4,2,9.0,3126000
131.1,3,1,10.0,3366000
153.1,4,4,9.0,3863000
120.5,4,4,12.0,3349000
178.1,3,3,18.0,4077000
109.4,3,2,7.0,3023000
228.8,4,3,5.0,4813000
145.0,4,1,19.0,3512000
85.7,4,3,18.0,2595000
