metros,habitaciones,banios,antiguedad,distancia_centro,precio
100.5,4,2.0,5,10.0,2620000
43.6,2,1.0,21,3.0,1466000
166.3,2,2.0,13,4.2,3536000
77.3,3,2.0,50,6.3,1898000
112.4,2,1.0,26,25.5,2049000
135.1,3,1.0,26,2.8,2998000
124.0,3,3.0,1,18.0,3037000
164.2,3,1.0,7,2.2,3468000
136.6,3,2.0,4,31.6,2620000
76.2,2,3.0,2,7.8,2405000
213.0,2,2.0,12,4.4,4406000
123.7,4,2.0,21,6.7,2979000
108.4,3,2.0,5,2.2,2931000
158.4,3,1.0,2,2.2,3542000
126.2,1,3.0,6,0.8,3037000
133.0,3,2.0,11,0.8,3328000
227.1,3,3.0,10,3.0,4630000
102.6,3,4.0,12,10.1,2733000
100.7,4,4.0,16,6.6,3058000
120.2,2,4.0,12,0.8,2751000
163.2,2,2.0,22,13.4,3204000
47.2,4,2.0,6,6.4,1605000
30.0,5,2.0,10,22.7,1555000
88.6,2,2.0,18,7.8,2167000
41.5,3,3.0,15,1.3,1273000
95.9,2,1.0,37,4.5,2187000
137.6,1,4.0,6,7.3,2999000
74.9,2,3.0,18,0.3,2007000
50.8,2,4.0,7,0.3,1586000
118.1,4,3.0,7,1.0,3152000
153.8,3,1.0,25,2.0,3522000
38.7,2,1.0,12,3.9,1129000
151.9,1,1.0,15,4.7,2785000
151.8,4,1.0,8,1.0,3484000
157.9,2,2.0,8,7.8,3494000
169.8,3,3.0,3,6.3,3761000
214.1,2,3.0,14,2.4,4217000
99.0,3,2.0,5,0.3,2683000
119.9,2,1.0,11,0.6,2913000
96.3,2,1.0,22,3.5,2208000
115.1,2,1.0,2,1.2,2374000
184.0,2,2.0,50,3.3,3659000
54.5,3,2.0,7,6.9,1739000
76.3,3,1.0,11,5.5,1889000
177.0,2,2.0,15,1.8,3828000
160.9,1,1.0,6,2.9,3117000
98.7,3,2.0,8,6.7,2491000
153.4,3,2.0,25,13.8,3279000
130.4,5,2.0,20,9.8,3346000
182.5,3,2.0,10,5.6,3953000
118.4,3,4.0,12,3.1,2967000
161.2,3,1.0,13,3.2,3389000
233.9,5,2.0,18,14.8,5027000
141.9,4,3.0,19,0.3,3432000
117.2,2,2.0,18,30.9,2275000
147.5,2,4.0,9,7.6,3364000
98.6,2,2.0,13,8.0,2372000
222.5,3,2.0,23,0.3,4600000
123.1,4,1.0,44,6.5,2993000
