id_estudiante,edad,carrera,ciudad,semestre,horas_estudio,asistencia,horas_sueno,salario,promedio
1,18,Física,CDMX,7,13.4,70.9,7.4,3285.0,8.4
2,24,Ciencias de la Computación,Naucalpan,5,3.1,78.8,7.4,5227.0,8.76
3,23,Actuaría,Naucalpan,6,11.7,100.0,7.0,5518.0,10.0
4,21,Física,Naucalpan,8,11.0,92.7,7.2,7805.0,9.75
5,21,MAC,Naucalpan,9,7.6,76.6,6.9,4135.0,8.53
6,24,Ciencias de la Computación,CDMX,1,4.2,72.8,9.1,5177.0,8.73
7,18,Actuaría,Toluca,7,10.3,85.4,6.4,1827.0,8.84
8,23,Física,Naucalpan,3,7.9,70.4,6.1,6643.0,8.41
9,19,Actuaría,Naucalpan,2,10.9,76.9,5.5,3131.0,8.19
10,18,Actuaría,Naucalpan,8,10.1,88.7,5.2,3491.0,9.0
11,22,Física,Querétaro,1,16.4,98.9,4.9,4460.0,9.73
12,25,Actuaría,Puebla,8,9.0,92.3,5.3,1687.0,8.08
13,23,Ciencias de la Computación,Toluca,7,5.9,57.5,6.4,4912.0,7.86
14,24,Actuaría,Naucalpan,9,10.7,88.7,6.9,6241.0,8.92
15,23,Física,Querétaro,7,10.9,85.9,6.6,5027.0,9.83
16,24,MAC,Querétaro,8,15.4,90.0,5.5,1640.0,9.92
17,22,Actuaría,CDMX,2,13.3,100.0,7.7,4277.0,9.49
18,19,Actuaría,Querétaro,9,11.4,60.2,7.5,5836.0,8.77
19,24,MAC,Puebla,2,15.9,77.9,6.3,1120.0,9.41
20,21,MAC,,3,5.2,92.1,5.7,2565.0,8.19
21,22,Física,Puebla,2,7.4,66.0,7.2,6078.0,7.7
22,20,Física,,4,6.3,100.0,6.7,4986.0,8.52
23,19,Física,CDMX,7,8.4,89.4,4.6,5242.0,8.21
24,25,MAC,CDMX,3,4.5,95.2,6.4,,7.66
25,24,MAC,Toluca,8,12.5,78.1,6.8,5343.0,9.27
26,23,MAC,Puebla,6,9.1,94.8,5.3,5684.0,8.97
27,21,Ciencias de la Computación,Toluca,6,4.1,97.8,6.7,9379.0,7.4
