id_usuario,edad,ciudad,plataforma,pedidos_mes,gasto_mensual,tiempo_entrega_min,calificacion
1025,27,Guadalajara,Android,3,345.71,53.6,4.6
1003,51,cdmx,android,6,1142.04,155.0,3.5
1073,31,Puebla,ios,2,314.15,44.7,4.8
1171,41,cdmx,iOS,4,569.15,36.8,4.5
1047,19,Puebla,iOS,6,756.61,35.4,4.4
1112,32,GDL,Android,3,391.0,30.6,4.4
1006,48,Guadalajara,,9,1922.35,38.7,4.4
1146,21,CDMX,Android,7,1498.43,34.6,4.9
1082,53,Ciudad de México,Android,5,1146.84,42.1,5.0
1064,54,cdmx,ios,3,421.75,24.5,3.8
1102,41,puebla ,iOS,12,1684.13,42.0,4.5
1151,49,,Android,8,1230.01,39.1,5.0
1038,30,Ciudad de México,Android,2,390.95,33.2,4.6
1128,38,cdmx,android,3,636.17,40.8,3.5
1004,39,Guadalajara,Android,5,718.61,40.2,3.7
1046,22,Guadalajara,ios,12,1270.76,36.5,4.9
1179,26,Guadalajara,Android,7,1442.66,28.5,3.7
1078,42,Puebla,iOS,5,461.84,44.7,3.9
1120,34,Monterrey,android,4,536.07,32.8,4.0
1092,35,Ciudad de México,Android,5,717.68,38.0,3.4
1015,48,Ciudad de México,android,2,299.51,28.8,4.0
1156,53,Ciudad de México,iOS,8,1494.08,33.5,3.8
1105,20,cdmx,iOS,5,1286.15,49.5,3.8
1116,39,Monterrey,ios,5,1226.5,28.4,4.5
1174,20,Puebla,,9,1243.96,31.4,4.2
1023,28,GDL,Android,5,,30.0,4.4
1126,53,Ciudad de México,Android,2,416.39,26.3,3.9
1040,35,cdmx,iOS,8,1027.4,20.4,5.0
1070,50,Ciudad de México,Android,3,326.03,32.0,3.2
1103,40,Puebla,iOS,6,1040.53,37.3,
1141,42,GDL,iOS,6,739.17,33.0,3.8
1034,47,CDMX,Android,6,1029.44,24.9,4.6
1135,21,cdmx,Android,4,649.3,23.7,3.6
1122,34,Guadalajara,iOS,7,1667.33,37.2,4.9
1098,40,puebla ,Android,6,1037.44,21.3,4.8
1087,49,Ciudad de México,iOS,8,1211.13,27.2,4.8
1051,37,puebla ,android,11,2863.14,16.9,5.0
1058,34,GDL,,7,1165.25,44.0,4.7
1071,25,puebla ,iOS,6,1005.1,23.2,4.7
1139,25,Ciudad de México,Android,2,368.1,34.5,3.4
1160,38,Monterrey,Android,6,916.44,49.4,5.0
1132,19,cdmx,Android,9,1411.38,40.6,4.5
1165,38,Guadalajara,,7,1917.78,37.2,3.7
1077,48,puebla ,iOS,10,2432.16,33.0,3.8
1017,47,Ciudad de México,iOS,6,,22.3,3.4
1042,49,Monterrey,Android,5,757.96,41.5,3.8
1041,25,Guadalajara,iOS,6,1094.76,48.2,4.0
1031,38,Ciudad de México,iOS,5,,42.2,3.7
1108,40,Monterrey,Android,4,913.42,38.0,3.6
1005,46,Ciudad de México,android,7,1312.37,53.2,4.5
1170,-5,Ciudad de México,Android,8,1865.13,34.2,
1168,31,Ciudad de México,iOS,6,620.08,33.7,4.0
1157,39,puebla ,iOS,3,514.26,23.6,4.7
1134,48,Monterrey,Android,4,444.6,25.2,4.8
1111,23,Monterrey,iOS,2,432.82,32.6,4.5
1012,51,Puebla,Android,6,1229.38,28.8,3.7
1014,36,GDL,iOS,3,229.73,37.9,4.8
1024,44,Puebla,Android,4,684.84,37.7,3.0
1089,41,Guadalajara,iOS,6,1758.94,32.1,3.8
1072,44,puebla ,android,8,1572.84,28.3,4.2
1008,20,Guadalajara,iOS,10,2109.19,30.6,4.0
1067,25,,,7,1079.9,37.5,4.7
1053,35,CDMX,Android,6,916.9,35.0,4.4
1027,34,GDL,iOS,9,2592.82,41.4,
1083,50,Guadalajara,iOS,3,657.96,39.7,3.9
1125,43,Puebla,iOS,7,1059.44,42.7,4.9
1161,25,GDL,Android,5,993.59,28.7,4.0
1043,23,cdmx,Android,7,893.82,37.9,
1057,130,Monterrey,iOS,8,1986.93,33.3,3.5
1153,52,Ciudad de México,Android,7,2002.23,30.3,4.4
1022,30,Monterrey,iOS,5,1261.42,43.9,4.0
1154,40,CDMX,iOS,4,972.48,41.1,5.0
1173,39,cdmx,Android,4,710.12,31.0,4.7
1115,32,puebla ,iOS,2,369.4,29.7,3.4
1063,27,GDL,iOS,4,500.53,44.7,4.7
1162,45,Guadalajara,iOS,6,1133.45,27.8,7.0
1136,33,,iOS,7,861.75,23.1,3.7
1118,32,,iOS,6,1134.21,29.1,4.6
1045,40,Puebla,iOS,4,641.58,31.3,4.5
1035,47,Monterrey,Android,3,573.46,26.5,3.7
1065,18,Guadalajara,iOS,3,604.17,39.2,4.4
1050,23,Ciudad de México,Android,5,981.6,55.9,4.2
1101,31,Ciudad de México,Android,9,1653.1,35.1,
1016,22,Monterrey,iOS,8,,30.4,4.8
