Fecha,Producto,Region,Vendedor,Cantidad,Precio,Ventas
2026-01-01,Teclado,Este,Diego,1,800.25,800.25
2026-01-01,Mouse,Sur,Paula,3,438.48,1315.44
2026-01-01,Audifonos,Sur,Carlos,3,608.42,1825.26
2026-01-01,Mouse,Norte,Jorge,5,449.33,2246.65
2026-01-02,Mouse,Sur,Carlos,4,445.68,1782.72
2026-01-02,Monitor,Sur,Paula,1,4285.54,4285.54
2026-01-02,Laptop,Centro,Ana,2,15334.46,30668.92
2026-01-02,Mouse,Centro,Sofia,4,453.13,1812.52
2026-01-02,Teclado,Norte,Jorge,1,860.99,860.99
2026-01-02,Teclado,Este,Luis,5,839.08,4195.4
2026-01-02,Impresora,Centro,Sofia,2,3259.13,6518.26
2026-01-03,Laptop,Norte,Jorge,2,15435.73,30871.46
2026-01-03,Mouse,Sur,Paula,3,459.6,1378.8
2026-01-04,Teclado,Norte,Maria,2,817.47,1634.94
2026-01-04,Laptop,Centro,Ana,1,15310.72,15310.72
2026-01-05,Mouse,Norte,Maria,4,445.19,1780.76
2026-01-05,Teclado,Centro,Sofia,1,841.35,841.35
2026-01-05,Teclado,Norte,Maria,2,824.57,1649.14
2026-01-05,Mouse,Centro,Sofia,3,441.06,1323.18
2026-01-05,Laptop,Sur,Paula,1,14788.77,14788.77
2026-01-05,Laptop,Sur,Carlos,1,14809.52,14809.52
2026-01-06,Monitor,Centro,Sofia,2,4017.8,8035.6
2026-01-06,Mouse,Centro,Ana,2,471.62,943.24
2026-01-06,Laptop,Centro,Sofia,1,15611.63,15611.63
2026-01-06,Laptop,Norte,Maria,2,14583.04,29166.08
2026-01-07,Teclado,Centro,Ana,1,812.49,812.49
2026-01-07,Mouse,Norte,Maria,3,489.34,1468.02
2026-01-07,Mouse,Centro,Sofia,2,439.03,878.06
2026-01-07,Teclado,Norte,Maria,5,854.0,4270.0
2026-01-08,Monitor,Norte,Maria,2,4221.75,8443.5
2026-01-08,Impresora,Centro,Sofia,3,3196.09,9588.27
2026-01-08,Laptop,Sur,Paula,1,15126.31,15126.31
2026-01-08,Mouse,Norte,Jorge,5,434.0,2170.0
2026-01-08,Mouse,Centro,Ana,5,461.32,2306.6
2026-01-09,Audifonos,Este,Luis,3,623.51,1870.53
2026-01-09,Mouse,Centro,Sofia,1,470.73,470.73
2026-01-09,Impresora,Norte,Maria,1,3365.47,3365.47
2026-01-09,Monitor,Centro,Sofia,1,4087.26,4087.26
2026-01-09,Impresora,Centro,Ana,3,3232.41,9697.23
2026-01-09,Laptop,Sur,Carlos,1,14978.08,14978.08
2026-01-09,Mouse,Norte,Jorge,5,462.36,2311.8
2026-01-10,Laptop,Este,Luis,1,14852.55,14852.55
2026-01-10,Mouse,Este,Diego,2,440.6,881.2
2026-01-10,Mouse,Sur,Paula,1,451.22,451.22
2026-01-11,Mouse,Este,Diego,4,430.24,1720.96
2026-01-12,Laptop,Norte,Maria,2,15212.19,30424.38
2026-01-12,Audifonos,Norte,Maria,2,597.59,1195.18
2026-01-12,Mouse,Norte,Maria,5,436.68,2183.4
2026-01-12,Laptop,Norte,Maria,1,14033.72,14033.72
2026-01-12,Teclado,Sur,Paula,5,812.59,4062.95
2026-01-12,Mouse,Este,Diego,4,442.85,1771.4
2026-01-12,Monitor,Sur,Paula,2,4566.04,9132.08
2026-01-13,Teclado,Centro,Sofia,3,850.0,2550.0
2026-01-13,Laptop,Norte,Jorge,1,15708.01,15708.01
2026-01-13,Laptop,Centro,Ana,2,14499.41,28998.82
2026-01-13,Laptop,Este,Diego,2,15204.49,30408.98
2026-01-14,Monitor,Este,Luis,2,4418.27,8836.54
2026-01-14,Teclado,Este,Luis,4,871.11,3484.44
2026-01-14,Monitor,Centro,Sofia,2,4192.27,8384.54
2026-01-14,Mouse,Centro,Ana,4,434.09,1736.36
2026-01-14,Teclado,Centro,Sofia,5,784.55,3922.75
2026-01-14,Audifonos,Sur,Paula,4,594.74,2378.96
2026-01-14,Mouse,Norte,Maria,1,426.28,426.28
2026-01-15,Laptop,Sur,Paula,1,15819.29,15819.29
2026-01-15,Impresora,Norte,Jorge,5,3150.25,15751.25
2026-01-15,Mouse,Sur,Paula,5,450.44,2252.2
2026-01-15,Laptop,Sur,Carlos,1,15273.94,15273.94
2026-01-15,Teclado,Sur,Paula,5,891.21,4456.05
2026-01-15,Impresora,Norte,Jorge,4,3341.69,13366.76
2026-01-16,Teclado,Sur,Carlos,4,877.25,3509.0
2026-01-16,Mouse,Centro,Sofia,2,448.01,896.02
2026-01-16,Laptop,Este,Diego,2,15666.65,31333.3
2026-01-16,Impresora,Sur,Carlos,4,3201.1,12804.4
2026-01-17,Laptop,Centro,Ana,2,15589.3,31178.6
2026-01-17,Mouse,Este,Luis,1,481.42,481.42
2026-01-18,Monitor,Centro,Ana,1,4266.05,4266.05
2026-01-19,Laptop,Este,Luis,2,15206.72,30413.44
2026-01-19,Impresora,Sur,Carlos,1,3272.97,3272.97
2026-01-19,Laptop,Norte,Jorge,1,15088.55,15088.55
2026-01-19,Audifonos,Sur,Paula,1,597.88,597.88
2026-01-19,Mouse,Sur,Paula,2,418.5,837.0
