ID_Venta,ID_Cliente,Region,Categoria,Unidades_Vendidas,Precio_Unitario,Ingresos,Ganancia,Fecha
247,2196.0,Sur,Belleza,18.0,139.92,2518.56,503.7,2025-07-24
303,2090.0,Norte,Hogar,2.0,812.84,1625.68,554.08,2025-06-01
156,2187.0,Norte,Hogar,16.0,784.2,12547.2,4954.74,2025-08-02
296,2039.0,Centro,Deportes,1.0,420.59,420.59,82.21,2025-07-26
212,2123.0,Centro,Hogar,7.0,91.58,641.06,123.9,2025-01-09
196,2073.0,Este,Ropa,5.0,2265.69,11328.45,2705.95,2025-08-07
181,2129.0,Sur,Ropa,4.0,288.28,1153.12,556.92,2025-08-16
316,2077.0,Norte,Electronica,14.0,1675.35,23454.9,10559.42,2025-04-30
324,2100.0,Sur,Hogar,13.0,1448.47,18830.11,4556.83,2025-06-08
328,2093.0,Sur,Hogar,14.0,123.6,1730.4,590.8,2025-03-14
56,2112.0,Norte,Ropa,17.0,2377.97,40425.49,9244.03,2025-02-25
213,2046.0,OESTE,Deportes,2.0,1036.67,2073.34,918.57,2025-01-05
15,2147.0,Norte,Ropa,13.0,2399.58,31194.54,9149.73,2025-04-14
341,2112.0,Sur,Deportes,11.0,589.56,6485.16,1023.83,2025-04-20
239,,Sur,Deportes,,627.53,,,2025-08-25
145,2173.0,Centro,Belleza,16.0,1763.57,28217.12,12818.31,2025-10-27
318,2096.0,Este,Electronica,16.0,2237.27,35796.32,16239.54,2025-03-03
42,2013.0,Norte,Electronica,,2023.66,,,2025-02-18
175,2014.0,Norte,Ropa,,2760.45,,,2025-02-26
230,2069.0,Sur,Hogar,17.0,1983.16,33713.72,6431.13,2025-10-22
267,2008.0,Norte,Electronica,4.0,1244.01,4976.04,1008.59,2025-03-24
83,2006.0,Centro,Belleza,8.0,2515.97,20127.76,3879.23,2025-03-01
136,,Sur,Deportes,15.0,802.87,12043.05,4514.22,2025-05-21
21,2062.0,Norte,Hogar,19.0,1557.09,29584.71,9387.26,2025-02-14
114,2117.0,Este,Ropa,17.0,1186.48,20170.16,9799.18,2025-06-11
275,2135.0,Sur,Deportes,3.0,2694.99,8084.97,2207.36,2025-02-11
143,2057.0,Este,Belleza,13.0,1342.18,17448.34,4949.64,2025-04-03
300,2015.0,Centro,Ropa,,1900.97,,,2025-06-15
137,2183.0,Sur,Ropa,14.0,142.16,1990.24,661.51,2025-01-25
273,2067.0,Este,Deportes,19.0,1865.77,35449.63,13680.46,2025-04-01
189,2181.0,Este,Deportes,3.0,566.26,1698.78,417.9,2025-05-19
152,2112.0,Centro,Deportes,3.0,876.68,2630.04,840.28,2025-10-13
160,2028.0,Sur,Deportes,11.0,1405.66,15462.26,6403.8,2025-02-11
197,2050.0,Centro,Ropa,10.0,610.68,6106.8,1408.15,2025-06-28
99,2135.0,Norte,Hogar,9.0,2750.21,24751.89,11986.61,2025-01-20
40,2115.0,Oeste,Belleza,9.0,2166.68,19500.12,4438.11,2025-08-21
151,2040.0,Centro,Electronica,16.0,1595.16,25522.56,7499.92,2025-10-18
350,2109.0,Centro,Ropa,5.0,2237.99,11189.95,4238.28,2025-07-30
277,2151.0,Centro,Deportes,10.0,2733.89,27338.9,10412.64,2025-07-16
22,2065.0,Centro,Belleza,17.0,1097.43,18656.31,7237.96,2025-05-06
191,2175.0,Norte,Hogar,18.0,654.9,11788.2,5603.27,2025-09-02
144,2027.0,Oeste,Ropa,2.0,1448.25,2896.5,981.51,2025-07-15
147,2184.0,Oeste,Hogar,17.0,2727.7,46370.9,16504.35,2025-10-02
102,2172.0,Sur,Deportes,5.0,2491.83,12459.15,4420.96,2025-04-07
218,2143.0, Centro,Ropa,7.0,570.55,3993.85,1886.4,2025-10-27
227,2131.0,Oeste,Deportes,2.0,1183.7,2367.4,764.63,2025-07-19
174,2170.0,Oeste,Ropa,17.0,1478.73,25138.41,8332.93,2025-10-27
343,2088.0,Norte,Hogar,4.0,1985.06,7940.24,3018.8,2025-02-14
223,2172.0,OESTE,Belleza,17.0,2210.34,37575.78,7610.96,2025-08-03
102,2172.0,Sur,Deportes,5.0,2491.83,12459.15,4420.96,2025-04-07
61,2104.0,Oeste,Ropa,19.0,1208.93,22969.67,9033.18,2025-07-11
309,2057.0,Oeste,Electronica,19.0,2568.22,48796.18,9456.02,2025-08-21
201,2020.0,Oeste,Electronica,10.0,2112.85,21128.5,3242.15,2025-06-23
240,2085.0,Centro,Electronica,3.0,2410.59,7231.77,2610.08,2025-08-24
135,2002.0,Centro,Belleza,16.0,1449.53,23192.48,9393.28,2025-05-10
27,2141.0,Este,Ropa,14.0,974.31,13640.34,5372.43,2025-03-22
45,2054.0,Centro,Electronica,16.0,2493.17,39890.72,13406.54,2025-10-02
50,2090.0,Centro,Electronica,9.0,2410.23,21692.07,9605.24,2025-09-23
219,2011.0,Norte,Deportes,12.0,1692.15,20305.8,6675.93,2025-06-12
75,2159.0,Oeste,Ropa,,1643.42,,,2025-05-13
17,2020.0,Oeste,Electronica,13.0,1973.29,25652.77,6329.61,2025-06-27
259,2001.0,Oeste,Ropa,,2389.58,,,2025-02-06
12,2097.0,Sur,Ropa,7.0,620.49,4343.43,1991.07,2025-01-20
107,2117.0,centro ,Belleza,17.0,1789.04,30413.68,13444.79,2025-10-04
326,2158.0,Sur,Electronica,17.0,257.42,4376.14,1655.25,2025-06-06
271,2175.0,OESTE,Hogar,3.0,71.68,215.04,86.98,2025-04-29
13,2012.0,Centro,Hogar,13.0,978.89,12725.57,4082.18,2025-02-28
234,2135.0,Sur,Hogar,7.0,1550.94,10856.58,4657.99,2025-09-09
325,2089.0,Sur,Deportes,2.0,2528.74,5057.48,764.09,2025-03-15
54,2066.0,este,Hogar,16.0,1779.1,28465.6,12731.85,2025-08-15
266,2009.0,Sur,Electronica,13.0,174.1,2263.3,638.26,2025-07-14
62,2037.0,Oeste,Deportes,11.0,1959.0,21549.0,9414.56,2025-06-26
231,2030.0,Centro,Deportes,6.0,2359.89,14159.34,5912.82,2025-05-04
165,2139.0,Oeste,Electronica,10.0,2377.71,23777.1,5785.67,2025-01-06
218,2143.0, Centro,Ropa,7.0,570.55,3993.85,1886.4,2025-10-27
29,2160.0,Sur,Ropa,5.0,1167.59,5837.95,1447.52,2025-07-03
140,2059.0,Sur,Electronica,2.0,1276.25,2552.5,587.85,2025-08-20
261,2119.0,Este,Deportes,7.0,2994.86,20964.02,8901.85,2025-02-16
89,2065.0,Oeste,Deportes,1.0,2075.92,2075.92,634.92,2025-05-25
278,2052.0, norte,Deportes,,688.35,,,2025-05-09
286,2127.0,Sur,Electronica,13.0,1238.74,16103.62,2444.83,2025-01-23
105,2069.0,Sur,Deportes,19.0,2315.18,43988.42,19301.2,2025-06-01
88,2004.0,Sur,Belleza,3.0,1884.3,5652.9,1858.25,2025-02-28
53,2070.0,Oeste,Electronica,9.0,526.57,4739.13,1138.0,2025-08-12
280,2187.0,Centro,Electronica,11.0,1834.01,20174.11,8527.1,2025-08-13
106,2055.0,Este,Belleza,2.0,840.23,1680.46,751.24,2025-05-25
118,2079.0,Centro,Belleza,14.0,1463.86,20494.04,8541.05,2025-08-10
125,2007.0,Centro,Hogar,6.0,1552.44,9314.64,1839.1,2025-04-30
236,2174.0,Norte,Deportes,13.0,826.86,10749.18,1694.98,2025-10-20
32,2040.0,Oeste,Deportes,11.0,2272.83,25001.13,5847.68,2025-08-19
170,2049.0,Sur,Electronica,15.0,2701.51,40522.65,12449.95,2025-05-31
217,2157.0,Oeste,Ropa,4.0,1829.45,7317.8,1555.17,2025-05-31
84,2105.0,Este,Electronica,4.0,600.04,2400.16,433.96,2025-03-16
184,2105.0,Norte,Deportes,5.0,2515.86,12579.3,4117.02,2025-02-17
104,2035.0,Este,Electronica,11.0,1525.93,16785.23,2697.83,2025-09-16
229,2080.0,Oeste,Belleza,17.0,1634.15,27780.55,7630.89,2025-07-31
198,2175.0,Centro,Electronica,14.0,231.79,3245.06,800.11,2025-05-18
164,2079.0,Este,Hogar,,920.43,,,2025-09-02
214,2087.0,Norte,Belleza,18.0,500.8,9014.4,3358.15,2025-03-08
283,,Centro,Electronica,4.0,271.02,1084.08,362.28,2025-03-02
78,2176.0,Centro,Hogar,16.0,1870.22,29923.52,12487.04,2025-04-29
187,2104.0,Sur,Hogar,16.0,396.57,6345.12,996.16,2025-01-14
9,2123.0,Sur,Deportes,16.0,308.83,4941.28,2217.06,2025-09-28
323,2087.0,Este,Deportes,1.0,249.48,249.48,58.37,2025-05-11
71,2100.0,este,Deportes,9.0,1139.94,10259.46,4023.3,2025-01-22
3,2186.0,Este,Ropa,9.0,2792.82,25135.38,6766.1,2025-08-27
313,2158.0,Sur,Ropa,19.0,1874.69,35619.11,17374.27,2025-02-04
222,,Centro,Deportes,5.0,146.63,733.15,163.7,2025-04-18
294,2059.0,Este,Hogar,,1083.38,,,2025-06-05
176,2145.0,Sur,Belleza,4.0,2430.16,9720.64,4553.93,2025-05-14
55,2104.0,Este,Ropa,1.0,400.39,400.39,164.18,2025-07-24
154,2193.0,Este,Ropa,1.0,1219.26,1219.26,557.56,2025-02-18
131,2101.0,Oeste,Belleza,4.0,1201.93,4807.72,1520.57,2025-01-02
26,2159.0,Este,Deportes,13.0,1208.54,15711.02,2822.53,2025-08-12
