id_cliente,nombre,segmento,ciudad
1,Cliente_1,Premium,Querétaro
2,Cliente_2,Corporativo,Guadalajara
3,Cliente_3,Corporativo,Guadalajara
4,Cliente_4,Regular,Monterrey
5,Cliente_5,Regular,Monterrey
6,Cliente_6,Regular,Querétaro
7,Cliente_7,Premium,Mérida
8,Cliente_8,Regular,Puebla
9,Cliente_9,Regular,Querétaro
10,Cliente_10,Corporativo,Puebla
11,Cliente_11,Corporativo,Monterrey
12,Cliente_12,Corporativo,Monterrey
13,Cliente_13,Regular,Puebla
14,Cliente_14,Premium,CDMX
15,Cliente_15,Premium,Mérida
16,Cliente_16,Regular,Puebla
17,Cliente_17,Premium,Mérida
18,Cliente_18,Premium,Puebla
19,Cliente_19,Premium,Mérida
20,Cliente_20,Corporativo,Querétaro
21,Cliente_21,Corporativo,Puebla
22,Cliente_22,Premium,Monterrey
23,Cliente_23,Corporativo,CDMX
24,Cliente_24,Corporativo,Mérida
25,Cliente_25,Premium,Querétaro
26,Cliente_26,Regular,Mérida
27,Cliente_27,Corporativo,Querétaro
28,Cliente_28,Corporativo,Querétaro
29,Cliente_29,Corporativo,Mérida
30,Cliente_30,Regular,Puebla
31,Cliente_31,Premium,CDMX
32,Cliente_32,Corporativo,CDMX
33,Cliente_33,Premium,Guadalajara
34,Cliente_34,Corporativo,Monterrey
35,Cliente_35,Regular,Mérida
36,Cliente_36,Regular,Monterrey
37,Cliente_37,Corporativo,CDMX
38,Cliente_38,Premium,Guadalajara
39,Cliente_39,Premium,Querétaro
40,Cliente_40,Premium,Querétaro
41,Cliente_41,Premium,Monterrey
42,Cliente_42,Corporativo,Mérida
43,Cliente_43,Regular,Mérida
44,Cliente_44,Corporativo,Querétaro
45,Cliente_45,Corporativo,Querétaro
46,Cliente_46,Premium,Puebla
47,Cliente_47,Premium,Monterrey
48,Cliente_48,Regular,Puebla
49,Cliente_49,Corporativo,Guadalajara
50,Cliente_50,Premium,Monterrey
51,Cliente_51,Regular,Puebla
52,Cliente_52,Premium,Puebla
53,Cliente_53,Corporativo,Puebla
54,Cliente_54,Regular,Monterrey
55,Cliente_55,Regular,Monterrey
56,Cliente_56,Corporativo,CDMX
57,Cliente_57,Regular,Puebla
58,Cliente_58,Corporativo,Puebla
59,Cliente_59,Corporativo,Querétaro
60,Cliente_60,Corporativo,Puebla
40,Cliente_40,Premium,Querétaro
42,Cliente_42,Corporativo,Mérida
3,Cliente_3,Corporativo,Guadalajara
49,Cliente_49,Corporativo,Guadalajara
