id_producto,producto,categoria,precio
101,Producto_1,Ropa,2518
102,Producto_2,Electrónica,11848
103,Producto_3,Electrónica,18849
104,Producto_4,Hogar,14626
105,Producto_5,Hogar,22031
106,Producto_6,Hogar,8628
107,Producto_7,Hogar,6988
108,Producto_8,Deportes,11977
109,Producto_9,Electrónica,5092
110,Producto_10,Hogar,24392
111,Producto_11,Electrónica,4684
112,Producto_12,Hogar,11997
113,Producto_13,Deportes,13074
114,Producto_14,Electrónica,1473
115,Producto_15,Hogar,11736
116,Producto_16,Electrónica,11394
117,Producto_17,Alimentos,6523
118,Producto_18,Deportes,3242
119,Producto_19,Hogar,1177
120,Producto_20,Electrónica,264
