id_venta,id_cliente,id_producto,id_sucursal,fecha,cantidad
5001,14,109,7,2025-04-30,6
5002,8,118,2,2025-03-18,5
5003,16,116,6,2025-01-11,7
5004,17,102,5,2025-01-26,1
5005,40,101,7,2025-02-18,1
5006,16,107,2,2025-08-24,4
5007,46,114,8,2025-07-11,2
5008,41,115,5,2025-05-11,5
5009,47,117,7,2025-08-23,7
5010,6,107,3,2025-02-18,3
5011,52,104,8,2025-03-05,4
5012,32,101,6,2025-04-28,5
5013,52,103,2,2025-10-03,2
5014,19,102,8,2025-07-04,7
5015,50,118,7,2025-09-13,2
5016,31,106,3,2025-03-16,6
5017,4,117,5,2025-09-12,5
5018,22,112,4,2025-01-22,1
5019,8,111,5,2025-03-10,6
5020,49,110,8,2025-06-06,2
5021,16,117,8,2025-01-16,5
5022,12,101,2,2025-09-15,7
5023,29,102,8,2025-09-18,7
5024,23,109,4,2025-06-12,7
5025,9018,108,6,2025-04-02,4
5026,9008,111,7,2025-01-30,4
5027,44,115,4,2025-07-05,3
5028,39,112,4,2025-06-11,7
5029,33,106,4,2025-08-16,4
5030,21,107,7,2025-06-30,6
5031,29,711,4,2025-02-08,3
5032,28,105,3,2025-02-06,6
5033,9,111,3,2025-08-23,2
5034,5,111,2,2025-02-17,6
5035,14,116,4,2025-10-09,1
5036,24,115,1,2025-02-01,1
5037,9,110,1,2025-08-07,3
5038,6,107,6,2025-10-20,4
5039,45,108,1,2025-05-13,5
5040,20,109,5,2025-01-18,3
5041,31,105,7,2025-09-21,1
5042,28,113,6,2025-02-26,3
5043,39,105,4,2025-06-08,4
5044,39,113,2,2025-10-23,4
5045,16,116,8,2025-08-12,5
5046,45,120,7,2025-01-14,2
5047,20,103,5,2025-09-04,5
5048,44,116,1,2025-02-18,5
5049,22,102,1,2025-08-13,6
5050,6,107,3,2025-07-06,4
5051,40,104,2,2025-03-28,6
5052,2,104,7,2025-05-08,2
5053,41,104,2,2025-02-05,5
5054,3,101,3,2025-10-24,1
5055,11,117,8,2025-03-13,1
5056,32,102,7,2025-04-03,7
5057,49,108,2,2025-05-31,4
5058,22,709,4,2025-07-21,5
5059,7,120,5,2025-06-01,5
5060,13,118,6,2025-06-01,5
5061,47,103,8,2025-06-24,2
5062,38,120,7,2025-09-15,2
5063,6,114,8,2025-04-29,1
5064,21,104,1,2025-09-07,7
5065,14,109,2,2025-08-25,2
5066,10,119,5,2025-10-16,5
5067,45,108,1,2025-10-01,4
5068,33,104,3,2025-08-28,2
5069,10,118,2,2025-03-16,3
5070,34,120,8,2025-08-21,1
5071,22,120,1,2025-08-09,2
5072,4,120,2,2025-03-28,1
5073,24,118,2,2025-07-23,6
5074,10,110,2,2025-03-17,4
5075,13,104,5,2025-06-06,7
5076,9015,113,3,2025-08-28,4
5077,37,105,8,2025-02-26,2
5078,7,110,3,2025-04-12,5
5079,45,114,5,2025-08-27,7
5080,30,119,6,2025-05-17,4
5081,46,106,6,2025-10-16,1
5082,39,106,7,2025-01-03,3
5083,18,115,2,2025-08-05,7
5084,28,101,5,2025-09-02,4
5085,28,112,7,2025-10-03,7
5086,38,115,7,2025-02-17,4
5087,13,112,5,2025-10-23,1
5088,18,108,6,2025-04-28,7
5089,13,117,7,2025-04-16,6
5090,16,108,5,2025-04-17,6
5091,9,115,8,2025-07-11,7
5092,2,110,2,2025-07-17,2
5093,49,101,3,2025-05-23,7
5094,4,111,1,2025-01-22,2
5095,47,101,1,2025-10-23,7
5096,1,119,4,2025-03-08,2
5097,41,113,2,2025-01-29,4
5098,18,108,4,2025-06-29,6
5099,27,110,4,2025-05-04,1
5100,15,113,5,2025-07-04,1
5101,26,106,8,2025-09-20,6
5102,24,106,7,2025-01-30,1
5103,28,109,4,2025-03-27,5
5104,21,106,3,2025-06-04,7
5105,28,116,7,2025-08-25,5
5106,43,103,1,2025-06-30,4
5107,23,117,5,2025-04-25,3
5108,19,107,4,2025-07-03,5
5109,7,112,2,2025-10-21,5
5110,19,104,5,2025-05-25,4
5111,7,108,3,2025-09-23,2
5112,10,116,2,2025-08-22,5
5113,50,106,6,2025-04-01,6
5114,5,103,2,2025-03-16,5
5115,26,111,6,2025-08-20,1
5116,44,104,2,2025-03-04,5
5117,50,107,4,2025-04-12,6
5118,8,110,7,2025-03-12,2
5119,9,112,2,2025-07-01,6
5120,20,113,7,2025-03-30,4
5121,29,114,6,2025-07-17,4
5122,50,117,8,2025-10-08,6
5123,11,102,2,2025-09-06,4
5124,9,108,6,2025-10-12,4
5125,14,101,8,2025-01-08,3
5126,46,101,7,2025-05-17,7
5127,9005,105,2,2025-03-08,7
5128,20,112,7,2025-10-03,1
5129,7,118,1,2025-08-02,6
5130,9,116,5,2025-04-07,1
5131,48,707,4,2025-06-19,3
5132,1,116,5,2025-07-01,7
5133,17,104,5,2025-05-29,2
5134,48,117,1,2025-05-23,3
5135,32,118,5,2025-01-17,2
5136,4,102,8,2025-05-16,6
5137,25,110,4,2025-04-15,4
5138,51,117,3,2025-09-03,5
5139,21,110,8,2025-09-17,7
5140,28,117,1,2025-08-14,4
5141,28,119,4,2025-01-10,6
5142,35,110,5,2025-09-10,1
5143,10,102,4,2025-04-29,2
5144,44,107,8,2025-05-05,7
5145,52,105,4,2025-10-11,7
5146,8,110,8,2025-09-18,5
5147,43,112,1,2025-01-16,3
5148,43,110,6,2025-04-18,2
5149,39,104,5,2025-08-13,6
5150,20,107,2,2025-06-11,6
5151,25,114,2,2025-03-19,2
5152,44,101,6,2025-06-07,5
5153,8,105,6,2025-09-17,5
5154,44,118,5,2025-03-08,4
5155,48,102,1,2025-08-12,7
5156,36,109,5,2025-08-09,1
5157,18,105,8,2025-09-23,2
5158,30,103,1,2025-03-31,1
5159,3,109,4,2025-03-06,5
5160,49,111,4,2025-06-14,5
5161,18,104,8,2025-06-09,7
5162,3,102,3,2025-05-03,4
5163,42,103,4,2025-08-22,2
5164,35,114,6,2025-08-28,4
5165,33,118,1,2025-03-15,1
5166,3,104,7,2025-08-27,5
5167,40,107,7,2025-03-11,5
5168,34,107,6,2025-05-03,7
5169,42,703,6,2025-01-09,3
5170,44,105,6,2025-04-13,3
5171,12,102,7,2025-10-15,1
5172,11,111,8,2025-05-13,3
5173,49,108,4,2025-08-02,4
5174,28,107,4,2025-02-02,6
5175,23,715,6,2025-07-10,6
5176,9017,119,2,2025-04-22,1
5177,34,113,7,2025-08-12,2
5178,40,109,7,2025-10-06,4
5179,1,105,6,2025-06-09,3
5180,29,117,3,2025-01-31,1
5181,52,118,3,2025-05-23,6
5182,15,101,4,2025-02-06,6
5183,15,119,6,2025-05-15,4
5184,46,114,7,2025-01-19,3
5185,9000,102,6,2025-07-12,6
5186,21,116,8,2025-04-04,1
5187,24,103,8,2025-03-02,4
5188,42,102,6,2025-01-06,6
5189,7,103,3,2025-09-24,7
