id_cliente,nombre,segmento,ciudad
1,Cliente_1,Regular,Monterrey
2,Cliente_2,Corporativo,Guadalajara
3,Cliente_3,Premium,CDMX
4,Cliente_4,Premium,Puebla
5,Cliente_5,Premium,Querétaro
6,Cliente_6,Corporativo,CDMX
7,Cliente_7,Regular,Querétaro
8,Cliente_8,Corporativo,Mérida
9,Cliente_9,Regular,Guadalajara
10,Cliente_10,Regular,Puebla
11,Cliente_11,Premium,CDMX
12,Cliente_12,Corporativo,Mérida
13,Cliente_13,Corporativo,Mérida
14,Cliente_14,Corporativo,Monterrey
15,Cliente_15,Corporativo,CDMX
16,Cliente_16,Corporativo,Querétaro
17,Cliente_17,Premium,Monterrey
18,Cliente_18,Regular,Querétaro
19,Cliente_19,Corporativo,Mérida
20,Cliente_20,Premium,Mérida
21,Cliente_21,Premium,Mérida
22,Cliente_22,Premium,Guadalajara
23,Cliente_23,Regular,Monterrey
24,Cliente_24,Corporativo,Monterrey
25,Cliente_25,Corporativo,Monterrey
26,Cliente_26,Premium,CDMX
27,Cliente_27,Premium,Puebla
28,Cliente_28,Corporativo,CDMX
29,Cliente_29,Premium,Mérida
30,Cliente_30,Premium,Mérida
