id_venta,id_cliente,id_producto,fecha,cantidad,nombre,segmento,ciudad,producto,categoria,precio,ingreso
1001,14,112,2025-06-29,2,Cliente_14,Corporativo,Monterrey,Producto_12,Electrónica,1989.0,3978.0
1002,25,103,2025-05-24,3,Cliente_25,Corporativo,Monterrey,Producto_3,Hogar,4576.0,13728.0
1003,26,106,2025-06-17,1,Cliente_26,Premium,CDMX,Producto_6,Hogar,18809.0,18809.0
1004,12,109,2025-06-20,3,Cliente_12,Corporativo,Mérida,Producto_9,Electrónica,16661.0,49983.0
1005,27,111,2025-01-17,3,Cliente_27,Premium,Puebla,Producto_11,Deportes,14020.0,42060.0
1006,9,114,2025-02-15,4,Cliente_9,Regular,Guadalajara,Producto_14,Electrónica,15368.0,61472.0
1007,8,101,2025-05-10,3,Cliente_8,Corporativo,Mérida,Producto_1,Alimentos,9540.0,28620.0
1008,21,103,2025-04-17,2,Cliente_21,Premium,Mérida,Producto_3,Hogar,4576.0,9152.0
1009,20,105,2025-01-10,5,Cliente_20,Premium,Mérida,Producto_5,Ropa,13412.0,67060.0
1010,5,105,2025-01-18,3,Cliente_5,Premium,Querétaro,Producto_5,Ropa,13412.0,40236.0
1011,25,115,2025-04-04,5,Cliente_25,Corporativo,Monterrey,Producto_15,Deportes,16653.0,83265.0
1012,6,112,2025-04-21,4,Cliente_6,Corporativo,CDMX,Producto_12,Electrónica,1989.0,7956.0
1013,25,105,2025-01-31,3,Cliente_25,Corporativo,Monterrey,Producto_5,Ropa,13412.0,40236.0
1014,1,115,2025-01-31,5,Cliente_1,Regular,Monterrey,Producto_15,Deportes,16653.0,83265.0
1015,24,108,2025-01-24,1,Cliente_24,Corporativo,Monterrey,Producto_8,Hogar,3255.0,3255.0
1016,24,108,2025-04-12,5,Cliente_24,Corporativo,Monterrey,Producto_8,Hogar,3255.0,16275.0
1017,24,107,2025-01-02,5,Cliente_24,Corporativo,Monterrey,Producto_7,Alimentos,8771.0,43855.0
1018,20,103,2025-04-14,3,Cliente_20,Premium,Mérida,Producto_3,Hogar,4576.0,13728.0
1019,15,115,2025-03-27,4,Cliente_15,Corporativo,CDMX,Producto_15,Deportes,16653.0,66612.0
1020,22,101,2025-03-25,3,Cliente_22,Premium,Guadalajara,Producto_1,Alimentos,9540.0,28620.0
1021,9,103,2025-05-03,2,Cliente_9,Regular,Guadalajara,Producto_3,Hogar,4576.0,9152.0
1022,24,104,2025-04-05,4,Cliente_24,Corporativo,Monterrey,Producto_4,Alimentos,11311.0,45244.0
1023,17,105,2025-05-11,2,Cliente_17,Premium,Monterrey,Producto_5,Ropa,13412.0,26824.0
1024,14,102,2025-05-18,2,Cliente_14,Corporativo,Monterrey,Producto_2,Deportes,6637.0,13274.0
1025,16,101,2025-06-15,3,Cliente_16,Corporativo,Querétaro,Producto_1,Alimentos,9540.0,28620.0
1026,18,111,2025-05-24,5,Cliente_18,Regular,Querétaro,Producto_11,Deportes,14020.0,70100.0
1027,2,115,2025-04-04,2,Cliente_2,Corporativo,Guadalajara,Producto_15,Deportes,16653.0,33306.0
1028,5,102,2025-03-30,3,Cliente_5,Premium,Querétaro,Producto_2,Deportes,6637.0,19911.0
1029,8,105,2025-02-12,1,Cliente_8,Corporativo,Mérida,Producto_5,Ropa,13412.0,13412.0
1030,4,108,2025-04-18,1,Cliente_4,Premium,Puebla,Producto_8,Hogar,3255.0,3255.0
1031,14,114,2025-01-26,1,Cliente_14,Corporativo,Monterrey,Producto_14,Electrónica,15368.0,15368.0
1032,21,111,2025-06-17,1,Cliente_21,Premium,Mérida,Producto_11,Deportes,14020.0,14020.0
1033,20,112,2025-06-02,5,Cliente_20,Premium,Mérida,Producto_12,Electrónica,1989.0,9945.0
1034,15,109,2025-01-22,5,Cliente_15,Corporativo,CDMX,Producto_9,Electrónica,16661.0,83305.0
1035,26,107,2025-05-22,5,Cliente_26,Premium,CDMX,Producto_7,Alimentos,8771.0,43855.0
1036,17,103,2025-01-22,1,Cliente_17,Premium,Monterrey,Producto_3,Hogar,4576.0,4576.0
1037,3,113,2025-05-10,1,Cliente_3,Premium,CDMX,Producto_13,Ropa,6281.0,6281.0
1038,23,113,2025-01-16,2,Cliente_23,Regular,Monterrey,Producto_13,Ropa,6281.0,12562.0
1039,18,101,2025-03-29,3,Cliente_18,Regular,Querétaro,Producto_1,Alimentos,9540.0,28620.0
1040,20,111,2025-04-29,2,Cliente_20,Premium,Mérida,Producto_11,Deportes,14020.0,28040.0
1041,17,102,2025-05-12,3,Cliente_17,Premium,Monterrey,Producto_2,Deportes,6637.0,19911.0
1042,17,112,2025-03-17,1,Cliente_17,Premium,Monterrey,Producto_12,Electrónica,1989.0,1989.0
