id_venta,id_cliente,id_producto,fecha,cantidad
1001,14,112,2025-06-29,2
1002,25,103,2025-05-24,3
1003,26,106,2025-06-17,1
1004,12,109,2025-06-20,3
1005,27,111,2025-01-17,3
1006,9,114,2025-02-15,4
1007,8,101,2025-05-10,3
1008,21,103,2025-04-17,2
1009,20,105,2025-01-10,5
1010,5,105,2025-01-18,3
1011,25,115,2025-04-04,5
1012,6,112,2025-04-21,4
1013,25,105,2025-01-31,3
1014,1,115,2025-01-31,5
1015,24,108,2025-01-24,1
1016,24,108,2025-04-12,5
1017,24,107,2025-01-02,5
1018,20,103,2025-04-14,3
1019,15,115,2025-03-27,4
1020,22,101,2025-03-25,3
1021,9,103,2025-05-03,2
1022,24,104,2025-04-05,4
1023,17,105,2025-05-11,2
1024,14,102,2025-05-18,2
1025,16,101,2025-06-15,3
1026,18,111,2025-05-24,5
1027,2,115,2025-04-04,2
1028,5,102,2025-03-30,3
1029,8,105,2025-02-12,1
1030,4,108,2025-04-18,1
1031,14,114,2025-01-26,1
1032,21,111,2025-06-17,1
1033,20,112,2025-06-02,5
1034,15,109,2025-01-22,5
1035,26,107,2025-05-22,5
1036,17,103,2025-01-22,1
1037,3,113,2025-05-10,1
1038,23,113,2025-01-16,2
1039,18,101,2025-03-29,3
1040,20,111,2025-04-29,2
1041,17,102,2025-05-12,3
1042,17,112,2025-03-17,1
1043,3,113,2025-06-15,4
1044,17,102,2025-05-20,2
1045,24,107,2025-02-07,1
1046,10,102,2025-05-01,4
1047,19,109,2025-05-12,5
1048,1,114,2025-03-02,1
1049,11,102,2025-05-13,3
1050,14,106,2025-06-11,5
1051,30,115,2025-05-28,4
1052,7,105,2025-05-18,5
1053,9,102,2025-04-25,3
1054,13,108,2025-02-18,2
1055,30,108,2025-05-24,4
1056,26,110,2025-03-07,1
1057,2,105,2025-04-06,2
1058,8,115,2025-02-26,4
1059,25,108,2025-02-26,4
1060,2,105,2025-01-29,1
1061,26,115,2025-06-23,3
1062,9,114,2025-01-27,2
1063,28,108,2025-01-16,3
1064,9,101,2025-06-18,5
1065,14,109,2025-04-10,1
1066,20,109,2025-03-20,5
1067,4,103,2025-05-13,3
1068,17,110,2025-03-10,4
1069,16,113,2025-01-24,3
1070,24,102,2025-05-12,2
1071,9004,111,2025-02-01,4
1072,20,103,2025-04-10,4
1073,13,112,2025-06-20,1
1074,13,107,2025-06-18,4
1075,9009,101,2025-03-06,4
1076,25,115,2025-05-21,2
1077,10,103,2025-04-21,5
1078,6,109,2025-03-28,4
1079,11,103,2025-01-26,2
1080,1,114,2025-03-09,1
1081,4,112,2025-04-28,4
1082,3,113,2025-06-27,2
1083,24,107,2025-01-01,4
1084,22,108,2025-05-10,3
1085,21,110,2025-06-02,3
1086,14,112,2025-06-21,1
1087,22,113,2025-03-18,4
1088,5,101,2025-01-22,1
1089,28,110,2025-02-18,3
1090,16,102,2025-06-03,5
1091,29,105,2025-06-08,5
1092,5,113,2025-04-25,5
1093,15,104,2025-01-23,5
1094,21,112,2025-01-22,3
1095,15,107,2025-03-28,2
1096,14,104,2025-04-16,5
1097,5,106,2025-01-06,5
1098,12,108,2025-05-04,5
1099,8,112,2025-04-09,4
1100,10,110,2025-01-03,1
1101,21,501,2025-01-18,3
1102,19,114,2025-03-23,3
1103,19,112,2025-05-11,5
1104,11,110,2025-05-29,2
1105,9006,105,2025-03-19,2
1106,3,107,2025-02-23,1
1107,11,102,2025-06-24,5
1108,4,106,2025-03-24,4
1109,11,114,2025-02-26,1
1110,29,107,2025-03-21,3
1111,11,102,2025-01-03,3
1112,28,110,2025-02-24,3
1113,15,115,2025-04-03,5
1114,21,114,2025-06-15,1
1115,14,105,2025-05-13,2
1116,8,107,2025-05-21,1
1117,23,108,2025-04-09,2
1118,30,104,2025-01-20,5
1119,8,105,2025-03-12,5
1120,24,104,2025-06-29,1
1121,8,115,2025-01-08,4
1122,22,112,2025-06-08,2
1123,9002,113,2025-05-04,1
1124,14,113,2025-02-21,2
1125,23,115,2025-05-21,1
1126,9,102,2025-05-31,3
1127,3,114,2025-01-08,5
1128,3,504,2025-01-20,3
1129,14,108,2025-04-30,4
1130,28,109,2025-06-29,3
1131,4,106,2025-01-05,1
1132,14,103,2025-04-30,1
1133,22,103,2025-01-25,2
1134,7,113,2025-04-28,2
1135,22,508,2025-04-23,5
1136,10,105,2025-01-17,5
1137,25,114,2025-05-03,5
1138,18,103,2025-06-11,4
1139,17,114,2025-06-05,3
1140,6,114,2025-01-06,4
1141,14,109,2025-02-14,3
1142,26,103,2025-02-13,4
1143,1,103,2025-03-23,4
1144,23,105,2025-01-26,4
1145,15,109,2025-06-03,4
1146,22,103,2025-05-20,1
1147,20,107,2025-05-26,4
1148,13,102,2025-02-05,2
1149,10,109,2025-01-03,4
1150,19,101,2025-06-13,3
