id_alumno,nombre,carrera
1,Alumno_1,Psicología
2,Alumno_2,Administración
3,Alumno_3,Administración
4,Alumno_4,Ing. Sistemas
5,Alumno_5,Ing. Sistemas
6,Alumno_6,Administración
7,Alumno_7,Ing. Sistemas
8,Alumno_8,Diseño
9,Alumno_9,Diseño
10,Alumno_10,Psicología
11,Alumno_11,Psicología
12,Alumno_12,Administración
13,Alumno_13,Ing. Sistemas
14,Alumno_14,Actuaría
15,Alumno_15,Administración
16,Alumno_16,Diseño
17,Alumno_17,Actuaría
18,Alumno_18,Administración
19,Alumno_19,Actuaría
20,Alumno_20,Ing. Sistemas
21,Alumno_21,Ing. Sistemas
22,Alumno_22,Actuaría
23,Alumno_23,Ing. Sistemas
24,Alumno_24,Ing. Sistemas
25,Alumno_25,Actuaría
