id_alumno,id_curso,calificacion
6,202,82
14,205,69
1,201,83
8,207,87
903,204,93
25,202,79
16,204,60
23,206,71
9,203,94
12,201,81
11,201,84
23,206,78
24,201,66
25,205,95
19,203,90
13,206,99
14,201,94
25,207,71
8,205,70
9,204,69
23,202,96
10,207,82
6,203,78
15,204,98
9,203,84
23,202,96
23,203,99
8,202,63
14,201,74
25,203,89
19,201,92
6,203,65
15,207,72
16,202,81
17,201,91
1,201,64
8,204,84
22,202,71
7,204,68
901,201,80
9,203,76
5,203,85
4,204,72
9,204,92
22,206,63
1,204,94
8,206,61
2,204,89
15,202,73
7,202,75
20,203,60
15,205,88
20,202,66
906,207,86
11,204,89
22,207,93
12,205,88
24,203,72
25,202,89
15,206,93
17,203,72
7,202,64
904,207,95
17,204,65
23,201,83
7,204,69
20,204,65
12,207,91
5,205,65
5,202,86
15,202,87
8,205,62
3,201,66
11,203,91
17,201,80
8,201,64
24,207,99
20,201,70
13,201,60
24,207,96
11,202,60
4,206,82
1,201,99
24,202,83
24,201,83
19,205,75
3,205,65
8,204,82
2,202,95
2,201,63
